hardware vs. memory (1000),,,
time+,buffalo,csel-kh1250-13,csel-kh1262-13
699.81,,1.2,
700.05,1.3,,
700.15,,1.2,
700.39,1.3,,
700.48,,1.2,
700.74,1.3,,
700.82,,1.2,
701.08,1.3,,
701.15,,1.2,
701.42,1.3,,
701.49,,1.2,
701.76,1.3,,
701.83,,1.2,
702.11,1.3,,
702.17,,1.2,
702.45,1.3,,
702.5,,1.2,
702.79,1.3,,
702.84,,1.2,
703.14,1.3,,
703.17,,1.2,
703.48,1.3,,
703.51,,1.2,
703.82,1.3,,
703.85,,1.2,
704.17,1.3,,
704.18,,1.2,
704.51,1.3,,
704.51,,1.2,
704.85,1.3,,
704.85,,1.2,
705.19,,1.2,
705.2,1.3,,
705.52,,1.2,
705.54,1.3,,
705.86,,1.2,
705.88,1.3,,
706.19,,1.2,
706.23,1.3,,
706.53,,1.2,
706.57,1.3,,
706.87,,1.2,
706.91,1.3,,
707.2,,1.2,
707.26,1.3,,
707.53,,1.2,
707.6,1.3,,
707.87,,1.2,
707.94,1.3,,
708.21,,1.2,
708.29,1.3,,
708.54,,1.2,
708.63,1.3,,
708.88,,1.2,
708.97,1.3,,
709.22,,1.2,
709.32,1.3,,
709.55,,1.2,
709.66,1.3,,
709.89,,1.2,
710.0,1.3,,
710.23,,1.2,
710.34,1.3,,
710.56,,1.2,
710.69,1.3,,
710.89,,1.2,
711.03,1.3,,
711.23,,1.2,
711.37,1.3,,
711.56,,1.2,
711.71,1.3,,
711.9,,1.2,
712.06,1.3,,
712.24,,1.2,
712.4,1.3,,
712.57,,1.2,
712.74,1.3,,
712.91,,1.2,
713.09,1.3,,
713.24,,1.2,
713.43,1.3,,
713.58,,1.2,
713.77,1.3,,
713.91,,1.2,
714.12,1.3,,
714.25,,1.2,
714.46,1.3,,
714.58,,1.2,
714.8,1.3,,
714.92,,1.2,
715.15,1.3,,
715.26,,1.2,
715.49,1.3,,
715.59,,1.2,
715.83,1.3,,
715.93,,1.2,
716.17,1.3,,
716.26,,1.2,
716.52,1.3,,
716.6,,1.2,
716.86,1.3,,
716.94,,1.2,
717.2,1.3,,
717.27,,1.2,
717.54,1.3,,
717.6,,1.2,
717.89,1.3,,
717.94,,1.2,
718.23,1.3,,
718.28,,1.2,
718.57,1.3,,
718.61,,1.2,
718.91,1.3,,
718.95,,1.2,
719.26,1.3,,
719.28,,1.2,
719.6,1.3,,
719.62,,1.2,
719.95,1.3,,
719.95,,1.2,
720.29,1.3,,
720.29,,1.2,
720.62,,1.2,
720.63,1.3,,
720.96,,1.2,
720.98,1.3,,
721.3,,1.2,
721.32,1.3,,
721.64,,1.2,
721.66,1.3,,
721.97,,1.2,
722.01,1.3,,
722.31,,1.2,
722.35,1.3,,
722.64,,1.2,
722.69,1.3,,
722.98,,1.2,
723.04,1.3,,
723.32,,1.2,
723.38,1.3,,
723.65,,1.2,
723.72,1.3,,
723.99,,1.2,
724.07,1.3,,
724.32,,1.2,
724.41,1.3,,
724.66,,1.2,
724.75,1.3,,
724.99,,1.2,
725.09,1.3,,
725.33,,1.2,
725.44,1.3,,
725.66,,1.2,
725.78,1.3,,
726.0,,1.2,
726.12,1.3,,
726.34,,1.2,
726.47,1.3,,
726.67,,1.2,
726.81,1.3,,
727.0,,1.2,
727.15,1.3,,
727.34,,1.2,
727.5,1.3,,
727.68,,1.2,
727.84,1.3,,
728.01,,1.2,
728.18,1.3,,
728.35,,1.2,
728.52,1.3,,
728.68,,1.2,
728.87,1.3,,
729.02,,1.2,
729.21,1.3,,
729.35,,1.2,
729.55,1.3,,
729.69,,1.2,
729.89,1.3,,
730.02,,1.2,
730.24,1.3,,
730.36,,1.2,
730.58,1.3,,
730.7,,1.2,
730.92,1.3,,
731.04,,1.2,
731.27,1.3,,
731.38,,1.2,
731.61,1.3,,
731.71,,1.2,
731.95,1.3,,
732.04,,1.2,
732.29,1.3,,
732.38,,1.2,
732.64,1.3,,
732.72,,1.2,
732.98,1.3,,
733.05,,1.2,
733.32,1.3,,
733.39,,1.2,
733.67,1.3,,
733.72,,1.2,
734.01,1.3,,
734.06,,1.2,
734.35,1.3,,
734.4,,1.2,
734.69,1.3,,
734.73,,1.2,
735.04,1.3,,
735.06,,1.2,
735.38,1.3,,
735.4,,1.2,
735.72,1.3,,
735.74,,1.2,
736.07,1.3,,
736.08,,1.2,
736.41,1.3,,
736.41,,1.2,
736.75,1.3,,
736.75,,1.2,
737.08,,1.2,
737.09,1.3,,
737.42,,1.2,
737.44,1.3,,
737.76,,1.2,
737.78,1.3,,
738.09,,1.2,
738.12,1.3,,
738.42,,1.2,
738.47,1.3,,
738.76,,1.2,
738.81,1.3,,
739.1,,1.2,
739.15,1.3,,
739.43,,1.2,
739.49,1.3,,
739.77,,1.2,
739.84,1.3,,
740.1,,1.2,
740.19,1.3,,
740.44,,1.2,
740.53,1.3,,
740.77,,1.2,
740.88,1.3,,
741.11,,1.2,
741.22,1.3,,
741.44,,1.2,
741.56,1.3,,
741.78,,1.2,
741.9,1.3,,
742.12,,1.2,
742.24,1.3,,
742.45,,1.2,
742.59,1.3,,
742.79,,1.2,
742.93,1.3,,
743.12,,1.2,
743.27,1.3,,
743.46,,1.2,
743.62,1.3,,
743.79,,1.2,
743.96,1.3,,
744.13,,1.2,
744.3,1.3,,
744.46,,1.2,
744.64,1.3,,
744.8,,1.2,
744.99,1.3,,
745.13,,1.2,
745.33,1.3,,
745.47,,1.2,
745.67,1.3,,
745.81,,1.2,
746.02,1.3,,
746.14,,1.2,
746.36,1.3,,
746.47,,1.2,
746.7,1.3,,
746.81,,1.2,
747.05,1.3,,
747.15,,1.2,
747.39,1.3,,
747.48,,1.2,
747.73,1.3,,
747.82,,1.2,
748.08,1.3,,
748.15,,1.2,
748.42,1.3,,
748.49,,1.2,
748.76,1.3,,
748.82,,1.2,
749.1,1.3,,
749.16,,1.2,
749.45,1.3,,
749.49,,1.2,
749.79,1.3,,
749.83,,1.2,
750.13,1.3,,
750.17,,1.2,
750.48,1.3,,
750.5,,1.2,
750.82,1.3,,
750.84,,1.2,
751.16,1.3,,
751.18,,1.2,
751.51,1.3,,
751.51,,1.2,
751.85,1.3,,
751.85,,1.2,
752.19,1.3,,
752.19,,1.2,
752.52,,1.2,
752.54,1.3,,
752.86,,1.2,
752.89,1.3,,
753.19,,1.2,
753.23,1.3,,
753.53,,1.2,
753.57,1.3,,
753.86,,1.2,
753.92,1.3,,
754.2,,1.2,
754.26,1.3,,
754.53,,1.2,
754.6,1.3,,
754.87,,1.2,
754.95,1.3,,
755.21,,1.2,
755.29,1.3,,
755.54,,1.2,
755.63,1.3,,
755.88,,1.2,
755.98,1.3,,
756.22,,1.2,
756.32,1.3,,
756.55,,1.2,
756.66,1.3,,
756.89,,1.2,
757.01,1.3,,
757.23,,1.2,
757.35,1.3,,
757.56,,1.2,
757.69,1.3,,
757.89,,1.2,
758.03,1.3,,
758.23,,1.2,
758.37,1.3,,
758.57,,1.2,
758.72,1.3,,
758.9,,1.2,
759.06,1.3,,
759.24,,1.2,
759.4,1.3,,
759.57,,1.2,
759.75,1.3,,
759.91,,1.2,
760.09,1.3,,
760.24,,1.2,
760.43,1.3,,
760.58,,1.2,
760.77,1.3,,
760.91,,1.2,
761.12,1.3,,
761.25,,1.2,
761.46,1.3,,
761.59,,1.2,
761.8,1.3,,
761.92,,1.2,
762.14,1.3,,
762.26,,1.2,
762.48,1.3,,
762.59,,1.2,
762.83,1.3,,
762.93,,1.2,
763.18,1.3,,
763.27,,1.2,
763.52,1.3,,
763.6,,1.2,
763.86,1.3,,
763.93,,1.2,
764.21,1.3,,
764.27,,1.2,
764.55,1.3,,
764.61,,1.2,
764.89,1.3,,
764.94,,1.2,
765.23,1.3,,
765.28,,1.2,
765.58,1.3,,
765.61,,1.2,
765.92,1.3,,
765.95,,1.2,
766.26,1.3,,
766.29,,1.2,
766.61,1.3,,
766.63,,1.2,
766.95,1.3,,
766.96,,1.2,
767.29,1.3,,
767.3,,1.2,
767.63,1.3,,
767.63,,1.2,
767.97,,1.2,
767.98,1.3,,
768.3,,1.2,
768.32,1.3,,
768.64,,1.2,
768.66,1.3,,
768.97,,1.2,
769.0,1.3,,
769.31,,1.2,
769.35,1.3,,
769.65,,1.2,
769.69,1.3,,
769.98,,1.2,
770.03,1.3,,
770.31,,1.2,
770.38,1.3,,
770.65,,1.2,
770.72,1.3,,
770.99,,1.2,
771.06,1.3,,
771.32,,1.2,
771.41,1.3,,
771.66,,1.2,
771.75,1.3,,
771.99,,1.2,
772.09,1.3,,
772.33,,1.2,
772.43,1.3,,
772.66,,1.2,
772.78,1.3,,
773.0,,1.2,
773.12,1.3,,
773.33,,1.2,
773.46,1.3,,
773.67,,1.2,
773.81,1.3,,
774.01,,1.2,
774.15,1.3,,
774.34,,1.2,
774.49,1.3,,
774.68,,1.2,
774.83,1.3,,
775.01,,1.2,
775.18,1.3,,
775.35,,1.2,
775.52,1.3,,
775.68,,1.2,
775.86,1.3,,
776.02,,1.2,
776.21,1.3,,
776.35,,1.2,
776.55,1.3,,
776.69,,1.2,
776.89,1.3,,
777.03,,1.2,
777.24,1.3,,
777.36,,1.2,
777.58,1.3,,
777.7,,1.2,
777.92,1.3,,
778.04,,1.2,
778.27,1.3,,
778.37,,1.2,
778.61,1.3,,
778.71,,1.2,
778.95,1.3,,
779.04,,1.2,
779.29,1.3,,
779.38,,1.2,
779.64,1.3,,
779.71,,1.2,
779.98,1.3,,
780.05,,1.2,
780.32,1.3,,
780.39,,1.2,
780.67,1.3,,
780.72,,1.2,
781.01,1.3,,
781.06,,1.2,
781.36,1.3,,
781.39,,1.2,
781.7,1.3,,
781.73,,1.2,
782.04,1.3,,
782.07,,1.2,
782.38,1.3,,
782.4,,1.2,
782.73,1.3,,
782.74,,1.2,
783.07,1.3,,
783.07,,1.2,
783.41,1.3,,
783.41,,1.2,
783.74,,1.2,
783.76,1.3,,
784.08,,1.2,
784.1,1.3,,
784.41,,1.2,
784.44,1.3,,
784.75,,1.2,
784.78,1.3,,
785.08,,1.2,
785.13,1.3,,
785.42,,1.2,
785.47,1.3,,
785.76,,1.2,
785.81,1.3,,
786.09,,1.2,
786.16,1.3,,
786.43,,1.2,
786.5,1.3,,
786.76,,1.2,
786.84,1.3,,
787.1,,1.2,
787.18,1.3,,
787.43,,1.2,
787.53,1.3,,
787.77,,1.2,
787.87,1.3,,
788.1,,1.2,
788.22,1.3,,
788.44,,1.2,
788.56,1.3,,
788.78,,1.2,
788.9,1.3,,
789.11,,1.2,
789.25,1.3,,
789.44,,1.2,
789.59,1.3,,
789.78,,1.2,
789.93,1.3,,
790.11,,1.2,
790.28,1.3,,
790.45,,1.2,
790.63,1.3,,
790.78,,1.2,
790.97,1.3,,
791.12,,1.2,
791.31,1.3,,
791.46,,1.2,
791.66,1.3,,
791.79,,1.2,
792.0,1.3,,
792.12,,1.2,
792.34,1.3,,
792.46,,1.2,
792.69,1.3,,
792.8,,1.2,
793.03,1.3,,
793.13,,1.2,
793.37,1.3,,
793.46,,1.2,
793.72,1.3,,
793.8,,1.2,
794.06,1.3,,
794.13,,1.2,
794.4,1.3,,
794.47,,1.2,
794.75,1.3,,
794.8,,1.2,
795.09,1.3,,
795.14,,1.2,
795.44,1.3,,
795.47,,1.2,
795.78,1.3,,
795.81,,1.2,
796.12,1.3,,
796.14,,1.2,
796.46,1.3,,
796.48,,1.2,
796.81,1.3,,
796.81,,1.2,
797.14,,1.2,
797.15,1.3,,
797.48,,1.2,
797.49,1.3,,
797.82,,1.2,
797.84,1.3,,
798.15,,1.2,
798.18,1.3,,
798.49,,1.2,
798.52,1.3,,
798.82,,1.2,
798.86,1.3,,
799.16,,1.2,
799.21,1.3,,
799.49,,1.2,
799.55,1.3,,
799.82,,1.2,
799.89,1.3,,
800.16,,1.2,
800.24,1.3,,
800.5,,1.2,
800.58,1.3,,
800.83,,1.2,
800.92,1.3,,
801.16,,1.2,
801.26,1.3,,
801.5,,1.2,
801.61,1.3,,
801.83,,1.2,
801.95,1.3,,
802.17,,1.2,
802.29,1.3,,
802.5,,1.2,
802.63,1.3,,
802.84,,1.2,
802.98,1.3,,
803.17,,1.2,
803.32,1.3,,
803.51,,1.2,
803.66,1.3,,
803.84,,1.2,
804.01,1.3,,
804.18,,1.2,
804.35,1.3,,
804.51,,1.2,
804.69,1.3,,
804.85,,1.2,
805.03,1.3,,
805.18,,1.2,
805.38,1.3,,
805.52,,1.2,
805.72,1.3,,
805.86,,1.2,
806.06,1.3,,
806.19,,1.2,
806.41,1.3,,
806.52,,1.2,
806.75,1.3,,
806.86,,1.2,
807.09,1.3,,
807.2,,1.2,
807.43,1.3,,
807.53,,1.2,
807.78,1.3,,
807.86,,1.2,
808.12,1.3,,
808.2,,1.2,
808.46,1.3,,
808.54,,1.2,
808.81,1.3,,
808.87,,1.2,
809.15,1.3,,
809.2,,1.2,
809.49,1.3,,
809.54,,1.2,
809.84,1.3,,
809.87,,1.2,
810.18,1.3,,
810.21,,1.2,
810.52,1.3,,
810.54,,1.2,
810.87,1.3,,
810.88,,1.2,
811.21,1.3,,
811.22,,1.2,
811.55,1.3,,
811.55,,1.2,
811.89,,1.2,
811.91,1.3,,
812.22,,1.2,
812.25,1.3,,
812.56,,1.2,
812.59,1.3,,
812.89,,1.2,
812.94,1.3,,
813.23,,1.2,
813.28,1.3,,
813.56,,1.2,
813.62,1.3,,
813.9,,1.2,
813.96,1.3,,
814.23,,1.2,
814.31,1.3,,
814.57,,1.2,
814.65,1.3,,
814.9,,1.2,
814.99,1.3,,
815.24,,1.2,
815.34,1.3,,
815.57,,1.2,
815.68,1.3,,
815.91,,1.2,
816.03,1.3,,
816.25,,1.2,
816.37,1.3,,
816.58,,1.2,
816.72,1.3,,
816.92,,1.2,
817.06,1.3,,
817.25,,1.2,
817.41,1.3,,
817.59,,1.2,
817.75,1.3,,
817.92,,1.2,
818.09,1.3,,
818.26,,1.2,
818.43,1.3,,
818.59,,1.2,
818.78,1.3,,
818.93,,1.2,
819.12,1.3,,
819.26,,1.2,
819.46,1.3,,
819.6,,1.2,
819.81,1.3,,
819.93,,1.2,
820.15,1.3,,
820.26,,1.2,
820.49,1.3,,
820.6,,1.2,
820.83,1.3,,
820.94,,1.2,
821.18,1.3,,
821.28,,1.2,
821.53,1.3,,
821.61,,1.2,
821.87,1.3,,
821.94,,1.2,
822.21,1.3,,
822.28,,1.2,
822.55,1.3,,
822.62,,1.2,
822.89,1.3,,
822.95,,1.2,
823.23,1.3,,
823.28,,1.2,
823.58,1.3,,
823.62,,1.2,
823.92,1.3,,
823.96,,1.2,
824.26,1.3,,
824.29,,1.2,
824.61,1.3,,
824.62,,1.2,
824.95,1.3,,
824.96,,1.2,
825.29,1.3,,
825.3,,1.2,
825.63,,1.2,
825.64,1.3,,
825.97,,1.2,
825.98,1.3,,
826.3,,1.2,
826.32,1.3,,
826.64,,1.2,
826.67,1.3,,
826.98,,1.2,
827.01,1.3,,
827.31,,1.2,
827.35,1.3,,
827.64,,1.2,
827.7,1.3,,
827.98,,1.2,
828.04,1.3,,
828.32,,1.2,
828.38,1.3,,
828.65,,1.2,
828.73,1.3,,
828.98,,1.2,
829.07,1.3,,
829.32,,1.2,
829.41,1.3,,
829.65,,1.2,
829.76,1.3,,
829.99,,1.2,
830.1,1.3,,
830.32,,1.2,
830.44,1.3,,
830.65,,1.2,
830.79,1.3,,
830.99,,1.2,
831.13,1.3,,
831.33,,1.2,
831.47,1.3,,
831.66,,1.2,
831.82,1.3,,
831.99,,1.2,
832.16,1.3,,
832.33,,1.2,
832.5,1.3,,
832.67,,1.2,
832.84,1.3,,
833.0,,1.2,
833.19,1.3,,
833.33,,1.2,
833.53,1.3,,
833.67,,1.2,
833.87,1.3,,
834.0,,1.2,
834.22,1.3,,
834.34,,1.2,
834.56,1.3,,
834.67,,1.2,
834.9,1.3,,
835.01,,1.2,
835.25,1.3,,
835.34,,1.2,
835.59,1.3,,
835.68,,1.2,
835.93,1.3,,
836.01,,1.2,
836.28,1.3,,
836.35,,1.2,
836.62,1.3,,
836.68,,1.2,
836.96,1.3,,
837.02,,1.2,
837.31,1.3,,
837.35,,1.2,
837.65,1.3,,
837.69,,1.2,
837.99,1.3,,
838.02,,1.2,
838.34,1.3,,
838.36,,1.2,
838.68,1.3,,
838.69,,1.2,
839.02,1.3,,
839.03,,1.2,
839.36,,1.2,
839.37,1.3,,
839.7,,1.2,
839.71,1.3,,
840.03,,1.2,
840.06,1.3,,
840.37,,1.2,
840.4,1.3,,
840.7,,1.2,
840.75,1.3,,
841.04,,1.2,
841.09,1.3,,
841.38,,1.2,
841.43,1.3,,
841.71,,1.2,
841.78,1.3,,
842.05,,1.2,
842.12,1.3,,
842.38,,1.2,
842.46,1.3,,
842.72,,1.2,
842.8,1.3,,
843.05,,1.2,
843.15,1.3,,
843.39,,1.2,
843.49,1.3,,
843.72,,1.2,
843.83,1.3,,
844.06,,1.2,
844.17,1.3,,
844.39,,1.2,
844.52,1.3,,
844.73,,1.2,
844.86,1.3,,
845.06,,1.2,
845.2,1.3,,
845.39,,1.2,
845.55,1.3,,
845.73,,1.2,
845.89,1.3,,
846.07,,1.2,
846.23,1.3,,
846.41,,1.2,
846.57,1.3,,
846.74,,1.2,
846.92,1.3,,
847.07,,1.2,
847.26,1.3,,
847.41,,1.2,
847.6,1.3,,
847.74,,1.2,
847.95,1.3,,
848.08,,1.2,
848.29,1.3,,
848.41,,1.2,
848.63,1.3,,
848.75,,1.2,
848.97,1.3,,
849.08,,1.2,
849.32,1.3,,
849.42,,1.2,
849.66,1.3,,
849.75,,1.2,
850.0,1.3,,
850.09,,1.2,
850.34,1.3,,
850.42,,1.2,
850.69,1.3,,
850.76,,1.2,
851.03,1.3,,
851.09,,1.2,
851.37,1.3,,
851.43,,1.2,
851.72,1.3,,
851.76,,1.2,
852.06,1.3,,
852.1,,1.2,
852.4,1.3,,
852.43,,1.2,
852.75,1.3,,
852.77,,1.2,
853.09,1.3,,
853.1,,1.2,
853.43,1.3,,
853.44,,1.2,
853.77,,1.2,
853.78,1.3,,
854.11,,1.2,
854.12,1.3,,
854.44,,1.2,
854.46,1.3,,
854.78,,1.2,
854.8,1.3,,
855.11,,1.2,
855.15,1.3,,
855.45,,1.2,
855.49,1.3,,
855.78,,1.2,
855.83,1.3,,
856.13,,1.2,
856.17,1.3,,
856.46,,1.2,
856.52,1.3,,
856.79,,1.2,
856.86,1.3,,
857.13,,1.2,
857.2,1.3,,
857.46,,1.2,
857.55,1.3,,
857.8,,1.2,
857.89,1.3,,
858.13,,1.2,
858.23,1.3,,
858.47,,1.2,
858.57,1.3,,
858.8,,1.2,
858.92,1.3,,
859.14,,1.2,
859.26,1.3,,
859.47,,1.2,
859.6,1.3,,
859.81,,1.2,
859.95,1.3,,
860.14,,1.2,
860.29,1.3,,
860.48,,1.2,
860.63,1.3,,
860.81,,1.2,
860.98,1.3,,
861.15,,1.2,
861.32,1.3,,
861.49,,1.2,
861.66,1.3,,
861.82,,1.2,
862.01,1.3,,
862.16,,1.2,
862.35,1.3,,
862.49,,1.2,
862.69,1.3,,
862.83,,1.2,
863.03,1.3,,
863.17,,1.2,
863.38,1.3,,
863.51,,1.2,
863.72,1.3,,
863.84,,1.2,
864.06,1.3,,
864.18,,1.2,
864.42,1.3,,
864.51,,1.2,
864.76,1.3,,
864.85,,1.2,
865.1,1.3,,
865.18,,1.2,
865.44,1.3,,
865.52,,1.2,
865.79,1.3,,
865.85,,1.2,
866.13,1.3,,
866.19,,1.2,
866.47,1.3,,
866.53,,1.2,
866.81,1.3,,
866.86,,1.2,
867.16,1.3,,
867.19,,1.2,
867.5,1.3,,
867.54,,1.2,
867.84,1.3,,
867.87,,1.2,
868.19,1.3,,
868.21,,1.2,
868.53,1.3,,
868.54,,1.2,
868.87,1.3,,
868.88,,1.2,
869.21,1.3,,
869.21,,1.2,
869.55,,1.2,
869.56,1.3,,
869.88,,1.2,
869.9,1.3,,
870.22,,1.2,
870.24,1.3,,
870.55,,1.2,
870.59,1.3,,
870.89,,1.2,
870.93,1.3,,
871.22,,1.2,
871.27,1.3,,
871.56,,1.2,
871.61,1.3,,
871.89,,1.2,
871.96,1.3,,
872.23,,1.2,
872.3,1.3,,
872.57,,1.2,
872.64,1.3,,
872.9,,1.2,
872.99,1.3,,
873.24,,1.2,
873.33,1.3,,
873.57,,1.2,
873.67,1.3,,
873.91,,1.2,
874.01,1.3,,
874.24,,1.2,
874.36,1.3,,
874.58,,1.2,
874.7,1.3,,
874.91,,1.2,
875.04,1.3,,
875.25,,1.2,
875.39,1.3,,
875.59,,1.2,
875.73,1.3,,
875.92,,1.2,
876.07,1.3,,
876.25,,1.2,
876.41,1.3,,
876.59,,1.2,
876.76,1.3,,
876.93,,1.2,
877.1,1.3,,
877.26,,1.2,
877.44,1.3,,
877.6,,1.2,
877.78,1.3,,
877.93,,1.2,
878.13,1.3,,
878.27,,1.2,
878.47,1.3,,
878.61,,1.2,
878.81,1.3,,
878.94,,1.2,
879.16,1.3,,
879.27,,1.2,
879.5,1.3,,
879.61,,1.2,
879.84,1.3,,
879.94,,1.2,
880.19,1.3,,
880.28,,1.2,
880.53,1.3,,
880.61,,1.2,
880.88,1.3,,
880.95,,1.2,
881.22,1.3,,
881.28,,1.2,
881.56,1.3,,
881.62,,1.2,
881.9,1.3,,
881.95,,1.2,
882.24,1.3,,
882.29,,1.2,
882.59,1.3,,
882.62,,1.2,
882.93,1.3,,
882.96,,1.2,
883.27,1.3,,
883.29,,1.2,
883.62,1.3,,
883.63,,1.2,
883.96,1.3,,
883.96,,1.2,
884.3,1.3,,
884.3,,1.2,
884.63,,1.2,
884.64,1.3,,
884.96,,1.2,
884.99,1.3,,
885.3,,1.2,
885.33,1.3,,
885.63,,1.2,
885.68,1.3,,
885.97,,1.2,
886.02,1.3,,
886.3,,1.2,
886.36,1.3,,
886.64,,1.2,
886.71,1.3,,
886.97,,1.2,
887.05,1.3,,
887.31,,1.2,
887.39,1.3,,
887.64,,1.2,
887.73,1.3,,
887.98,,1.2,
888.08,1.3,,
888.32,,1.2,
888.42,1.3,,
888.65,,1.2,
888.76,1.3,,
888.98,,1.2,
889.11,1.3,,
889.32,,1.2,
889.45,1.3,,
889.66,,1.2,
889.79,1.3,,
889.99,,1.2,
890.14,1.3,,
890.32,,1.2,
890.48,1.3,,
890.66,,1.2,
890.82,1.3,,
890.99,,1.2,
891.16,1.3,,
891.33,,1.2,
891.51,1.3,,
891.66,,1.2,
891.85,1.3,,
892.0,,1.2,
892.19,1.3,,
892.33,,1.2,
892.55,1.3,,
892.67,,1.2,
892.89,1.3,,
893.0,,1.2,
893.23,1.3,,
893.34,,1.2,
893.58,1.3,,
893.67,,1.2,
893.92,1.3,,
894.01,,1.2,
894.26,1.3,,
894.34,,1.2,
894.61,1.3,,
894.68,,1.2,
894.95,1.3,,
895.01,,1.2,
895.29,1.3,,
895.35,,1.2,
895.64,1.3,,
895.68,,1.2,
895.98,1.3,,
896.02,,1.2,
896.32,1.3,,
896.35,,1.2,
896.66,1.3,,
896.69,,1.2,
897.01,1.3,,
897.02,,1.2,
897.35,1.3,,
897.36,,1.2,
897.69,,1.2,
897.7,1.3,,
898.03,,1.2,
898.04,1.3,,
898.36,,1.2,
898.38,1.3,,
898.7,,1.2,
898.73,1.3,,
899.03,,1.2,
899.07,1.3,,
899.37,,1.2,
899.41,1.3,,
899.7,,1.2,
899.75,1.3,,
900.04,,1.2,
900.1,1.3,,
900.37,,1.2,
900.44,1.3,,
900.71,,1.2,
900.78,1.3,,
901.04,,1.2,
901.13,1.3,,
901.38,,1.2,
901.47,1.3,,
901.71,,1.2,
901.81,1.3,,
902.05,,1.2,
902.15,1.3,,
902.38,,1.2,
902.5,1.3,,
902.72,,1.2,
902.84,1.3,,
903.05,,1.2,
903.18,1.3,,
903.39,,1.2,
903.53,1.3,,
903.72,,1.2,
903.87,1.3,,
904.06,,1.2,
904.21,1.3,,
904.39,,1.2,
904.55,1.3,,
904.73,,1.2,
904.9,1.3,,
905.06,,1.2,
905.24,1.3,,
905.4,,1.2,
905.58,1.3,,
905.73,,1.2,
905.92,1.3,,
906.07,,1.2,
906.27,1.3,,
906.4,,1.2,
906.61,1.3,,
906.74,,1.2,
906.95,1.3,,
907.07,,1.2,
907.3,1.3,,
907.41,,1.2,
907.64,1.3,,
907.74,,1.2,
907.98,1.3,,
908.08,,1.2,
908.32,1.3,,
908.41,,1.2,
908.67,1.3,,
908.75,,1.2,
909.01,1.3,,
909.08,,1.2,
909.35,1.3,,
909.42,,1.2,
909.69,1.3,,
909.75,,1.2,
910.04,1.3,,
910.09,,1.2,
910.38,1.3,,
910.42,,1.2,
910.72,1.3,,
910.76,,1.2,
911.07,1.3,,
911.09,,1.2,
911.41,1.3,,
911.43,,1.2,
911.75,1.3,,
911.76,,1.2,
912.09,1.3,,
912.1,,1.2,
912.43,,1.2,
912.44,1.3,,
912.77,,1.2,
912.78,1.3,,
913.11,,1.2,
913.12,1.3,,
913.44,,1.2,
913.47,1.3,,
913.78,,1.2,
913.81,1.3,,
914.11,,1.2,
914.15,1.3,,
914.45,,1.2,
914.5,1.3,,
914.78,,1.2,
914.84,1.3,,
915.12,,1.2,
915.18,1.3,,
915.45,,1.2,
915.52,1.3,,
915.79,,1.2,
915.87,1.3,,
916.12,,1.2,
916.21,1.3,,
916.46,,1.2,
916.55,1.3,,
916.79,,1.2,
916.9,1.3,,
917.12,,1.2,
917.24,1.3,,
917.46,,1.2,
917.58,1.3,,
917.8,,1.2,
917.92,1.3,,
918.14,,1.2,
918.27,1.3,,
918.47,,1.2,
918.61,1.3,,
918.8,,1.2,
918.95,1.3,,
919.14,,1.2,
919.29,1.3,,
919.48,,1.2,
919.64,1.3,,
919.81,,1.2,
919.98,1.3,,
920.14,,1.2,
920.33,1.3,,
920.48,,1.2,
920.67,1.3,,
920.81,,1.2,
921.01,1.3,,
921.15,,1.2,
921.35,1.3,,
921.48,,1.2,
921.7,1.3,,
921.82,,1.2,
922.04,1.3,,
922.15,,1.2,
922.38,1.3,,
922.49,,1.2,
922.73,1.3,,
922.82,,1.2,
923.07,1.3,,
923.16,,1.2,
923.41,1.3,,
923.49,,1.2,
923.76,1.3,,
923.83,,1.2,
924.1,1.3,,
924.16,,1.2,
924.44,1.3,,
924.5,,1.2,
924.79,1.3,,
924.83,,1.2,
925.13,1.3,,
925.17,,1.2,
925.47,1.3,,
925.5,,1.2,
925.81,1.3,,
925.84,,1.2,
926.16,1.3,,
926.17,,1.2,
926.5,1.3,,
926.51,,1.2,
926.84,1.3,,
926.84,,1.2,
927.18,1.3,,
927.18,,1.2,
927.51,,1.2,
927.53,1.3,,
927.84,,1.2,
927.87,1.3,,
928.18,,1.2,
928.21,1.3,,
928.52,,1.2,
928.56,1.3,,
928.85,,1.2,
928.9,1.3,,
929.18,,1.2,
929.24,1.3,,
929.52,,1.2,
929.59,1.3,,
929.86,,1.2,
929.93,1.3,,
930.19,,1.2,
930.27,1.3,,
930.52,,1.2,
930.62,1.3,,
930.86,,1.2,
930.96,1.3,,
931.2,,1.2,
931.3,1.3,,
931.53,,1.2,
931.65,1.3,,
931.86,,1.2,
932.0,1.3,,
932.2,,1.2,
932.34,1.3,,
932.54,,1.2,
932.68,1.3,,
932.88,,1.2,
933.03,1.3,,
933.21,,1.2,
933.37,1.3,,
933.54,,1.2,
933.71,1.3,,
933.88,,1.2,
934.06,1.3,,
934.22,,1.2,
934.4,1.3,,
934.55,,1.2,
934.74,1.3,,
934.88,,1.2,
935.09,1.3,,
935.22,,1.2,
935.43,1.3,,
935.55,,1.2,
935.77,1.3,,
935.89,,1.2,
936.12,1.3,,
936.22,,1.2,
