time+,res,%cpu,total-runtime
0.32,0.048,11.2,679.73
0.67,0.079,13.8,
1.0,0.109,11.2,
1.35,0.137,12.5,
1.6800000000000002,0.161,12.5,
2.02,0.187,12.5,
2.37,0.22,12.5,
2.71,0.244,12.5,
3.04,0.261,12.5,
3.39,0.301,12.5,
3.73,0.312,12.5,
4.07,0.353,12.5,
4.41,0.375,12.5,
4.75,0.398,12.5,
5.09,0.438,12.5,
5.43,0.456,12.5,
5.77,0.474,12.5,
6.11,0.515,13.8,
6.45,0.555,11.4,
6.79,0.555,12.5,
7.13,0.58,12.5,
7.47,0.621,12.5,
7.8100000000000005,0.662,12.5,
8.15,0.68,12.5,
8.49,0.68,12.5,
8.83,0.715,11.2,
9.17,0.756,12.5,
9.51,0.797,12.5,
9.85,0.836,12.5,
10.19,0.836,12.5,
10.53,0.836,12.5,
10.87,0.874,12.5,
11.21,0.916,12.5,
11.56,0.958,13.8,
11.89,1.0,11.2,
12.24,1.0,12.5,
12.58,1.0,12.5,
12.92,1.0,12.5,
13.26,1.1,13.8,
13.59,1.1,12.5,
13.94,1.1,12.5,
14.28,1.1,12.5,
14.62,1.1,12.5,
14.96,1.1,12.5,
15.3,1.1,12.5,
15.64,1.1,12.5,
15.98,1.1,12.5,
16.32,1.1,13.8,
16.65,1.1,11.2,
16.99,1.1,12.5,
17.33,1.1,12.5,
17.67,1.1,12.5,
18.01,1.1,12.5,
18.35,1.1,12.5,
18.69,1.1,12.5,
19.03,1.1,12.5,
19.38,1.1,12.5,
19.72,1.1,13.8,
20.05,1.1,11.4,
20.39,1.1,12.5,
20.73,1.1,12.5,
21.07,1.1,11.4,
21.41,1.1,12.5,
21.75,1.1,12.5,
22.09,1.1,12.5,
22.43,1.1,12.5,
22.77,1.1,12.5,
23.11,1.1,12.5,
23.44,1.1,12.5,
23.78,1.1,12.5,
24.12,1.1,12.5,
24.46,1.1,12.5,
24.8,1.1,12.5,
25.14,1.1,12.5,
25.48,1.1,12.5,
25.82,1.1,12.5,
26.16,1.1,12.5,
26.51,1.1,12.5,
26.85,1.1,12.5,
27.19,1.1,12.5,
27.53,1.1,12.5,
27.87,1.1,12.5,
28.21,1.1,12.5,
28.55,1.1,12.5,
28.89,1.1,12.5,
29.23,1.1,12.5,
