Id,Label,timeset,group,calls,time,memory_in,memory_out
inspect.Signature.__init__,inspect.Signature.__init__,,inspect,8838,0.358476,0,0
mpl_toolkits.mplot3d.art3d.<module>,mpl_toolkits.mplot3d.art3d.<module>,,mpl_toolkits,1,0.336089,0,0
Lab.Droplet.Move,Lab.Droplet.Move,,Lab,526,0.333888,0,0
re.search,re.search,,re,5185,0.298337,0,0
pandas.core.api.<module>,pandas.core.api.<module>,,pandas,1,0.297,0,0
matplotlib.docstring._ArtistKwdocLoader.__missing__,matplotlib.docstring._ArtistKwdocLoader.__missing__,,matplotlib,13,0.27709,0,0
matplotlib.axes._base.<module>,matplotlib.axes._base.<module>,,matplotlib,1,0.27291,0,0
numpy.core.<module>,numpy.core.<module>,,numpy,1,0.271206,0,0
matplotlib.projections.geo.<module>,matplotlib.projections.geo.<module>,,matplotlib,1,0.271125,0,0
matplotlib.legend.<module>,matplotlib.legend.<module>,,matplotlib,1,0.270454,0,0
AStar.<lambda>,AStar.<lambda>,,AStar,23322,0.258721,0,0
AStar.Single_Route_Without_Time,AStar.Single_Route_Without_Time,,AStar,19,0.255507,0,0
Lab.Lab.Get_Congestion,Lab.Lab.Get_Congestion,,Lab,191,0.252078,0,0
matplotlib.offsetbox.<module>,matplotlib.offsetbox.<module>,,matplotlib,1,0.241254,0,0
Lab.<listcomp>,Lab.<listcomp>,,Lab,20386,0.20952,0,0
Lab.Droplet.Find_Gradient,Lab.Droplet.Find_Gradient,,Lab,526,0.205855,0,0
matplotlib.projections.polar.<module>,matplotlib.projections.polar.<module>,,matplotlib,1,0.200927,0,0
_find_spec,_find_spec,,_find_spec,609,0.200781,0,0
matplotlib.axis.<module>,matplotlib.axis.<module>,,matplotlib,1,0.198532,0,0
enum.__call__,enum.__call__,,enum,23994,0.196769,0,0
sre_parse.SubPattern.getwidth,sre_parse.SubPattern.getwidth,,sre_parse,3758,0.188603,0,0
sre_parse.Tokenizer.get,sre_parse.Tokenizer.get,,sre_parse,19785,0.179174,0,0
