"gene length vs. congestion (hw=csel-kh1250-14, gs=45)",,
total droplets,max droplets,max congestion
9,4,5.925925925925927
13,5,6.222222222222222
21,5,6.320987654320988
29,9,9.580246913580249
33,10,11.753086419753089
37,10,11.753086419753089
45,14,13.62962962962963
49,14,13.432098765432098
57,15,15.11111111111111
65,19,17.48148148148148
69,20,19.25925925925926
