gene length vs. avg cpu % (hw=csel-kh1250-14),,,,,,,,,,
2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0,11-0,12-0
5.95,6.2,6.2,6.2,6.316666666666666,6.3,6.158333333333334,6.200000000000002,6.200000000000002,6.278571428571428,6.206249999999997
