gene length vs. peak memory (hw=csel-kh1250-14),,,,,,,,,,
2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0,11-0,12-0
0.96,0.95,1.33,1.62,2.3,2.63,4.33,4.3,5.32,9.64,10.97
