time+,res,%cpu,total-runtime
0.59,0.071,11.2,55.85
0.94,0.114,13.8,
1.27,0.114,12.5,
1.6099999999999999,0.114,12.5,
1.94,0.114,12.5,
2.2800000000000002,0.115,11.4,
2.61,0.116,12.5,
2.94,0.117,12.5,
3.2800000000000002,0.119,12.5,
3.62,0.122,13.8,
3.95,0.124,12.5,
4.28,0.124,12.5,
4.62,0.127,12.5,
4.95,0.127,12.5,
5.28,0.127,12.5,
5.62,0.127,12.5,
5.95,0.127,12.5,
6.29,0.127,11.4,
6.63,0.127,12.5,
6.96,0.127,12.5,
7.3,0.127,12.5,
7.63,0.127,12.5,
7.97,0.127,12.5,
8.3,0.128,12.5,
8.63,0.131,12.5,
8.97,0.131,12.5,
9.3,0.131,12.5,
9.64,0.131,12.5,
9.97,0.131,12.5,
10.3,0.131,12.5,
10.64,0.131,12.5,
10.98,0.131,13.8,
11.31,0.132,12.5,
11.65,0.135,12.5,
11.98,0.139,12.5,
12.31,0.139,12.5,
12.65,0.139,12.5,
12.98,0.143,12.5,
13.32,0.145,12.5,
13.65,0.146,12.5,
13.99,0.146,12.5,
14.32,0.146,12.5,
14.65,0.146,12.5,
14.99,0.146,12.5,
15.33,0.146,13.8,
15.66,0.146,12.5,
15.99,0.146,12.5,
16.33,0.146,12.5,
16.67,0.146,12.5,
17.0,0.146,12.5,
17.34,0.146,12.5,
17.67,0.146,12.5,
18.01,0.146,12.5,
18.34,0.146,12.5,
18.68,0.146,13.8,
19.01,0.146,12.5,
19.35,0.146,12.5,
19.68,0.146,12.5,
20.01,0.146,12.5,
20.35,0.146,12.5,
20.68,0.146,12.5,
21.02,0.146,12.5,
21.36,0.147,12.5,
21.69,0.15,12.5,
22.03,0.15,12.5,
22.36,0.15,12.5,
22.69,0.155,12.5,
23.03,0.155,12.5,
23.36,0.155,12.5,
23.7,0.155,12.5,
24.03,0.155,12.5,
24.37,0.155,12.5,
24.7,0.155,12.5,
25.04,0.155,12.5,
25.37,0.155,12.5,
25.71,0.155,12.5,
26.04,0.155,12.5,
26.38,0.155,12.5,
26.71,0.155,12.5,
27.05,0.155,12.5,
27.38,0.155,12.5,
27.71,0.155,12.5,
28.05,0.155,12.5,
28.39,0.155,12.5,
28.72,0.155,12.5,
29.05,0.155,12.5,
29.39,0.155,12.5,
29.73,0.155,12.5,
30.06,0.155,12.5,
30.39,0.153,12.5,
30.73,0.153,12.5,
31.06,0.153,12.5,
31.4,0.153,12.5,
31.74,0.153,12.5,
32.07,0.153,12.5,
32.41,0.153,12.5,
32.74,0.153,12.5,
33.07,0.153,12.5,
33.41,0.153,12.5,
33.75,0.153,12.5,
34.08,0.153,12.5,
34.41,0.153,12.5,
34.75,0.153,12.5,
35.08,0.153,12.5,
35.42,0.153,13.8,
35.75,0.153,12.5,
36.09,0.153,12.5,
36.43,0.153,12.5,
36.76,0.153,12.5,
37.09,0.153,12.5,
37.43,0.153,12.5,
37.77,0.153,13.8,
38.1,0.153,12.5,
38.43,0.153,12.5,
38.77,0.153,12.5,
39.1,0.153,12.5,
39.44,0.153,12.5,
39.77,0.153,12.5,
40.11,0.153,12.5,
40.44,0.154,12.5,
40.77,0.154,12.5,
41.11,0.154,12.5,
41.44,0.154,12.5,
41.78,0.154,12.5,
42.11,0.154,12.5,
42.45,0.154,12.5,
42.78,0.154,12.5,
43.12,0.154,12.5,
43.45,0.154,12.5,
43.79,0.154,12.5,
44.12,0.154,12.5,
44.46,0.154,13.8,
44.79,0.154,12.5,
45.13,0.154,12.5,
45.46,0.154,12.5,
45.79,0.154,12.5,
46.13,0.154,12.5,
46.47,0.155,12.5,
46.8,0.155,12.5,
47.14,0.155,12.5,
47.47,0.155,12.5,
47.8,0.155,12.5,
48.14,0.155,12.5,
48.48,0.155,12.5,
48.81,0.155,12.5,
49.15,0.155,12.5,
49.48,0.155,12.5,
49.82,0.155,12.5,
50.15,0.155,12.5,
50.48,0.155,12.5,
50.82,0.155,12.5,
51.16,0.155,12.5,
51.5,0.155,12.5,
51.83,0.155,12.5,
52.17,0.155,12.5,
52.5,0.155,12.5,
52.84,0.155,12.5,
53.17,0.155,12.5,
53.51,0.155,12.5,
53.84,0.155,12.5,
54.18,0.155,12.5,
54.51,0.153,12.5,
54.84,0.153,12.5,
55.18,0.153,12.5,
55.52,0.153,12.5,
55.85,0.153,12.5,
