time+,res,%cpu,total-runtime
0.62,0.081,12.5,294.36
0.96,0.125,12.5,
1.29,0.166,12.5,
1.63,0.204,12.5,
1.96,0.248,12.5,
2.3,0.288,12.5,
2.64,0.33,12.5,
2.9699999999999998,0.394,12.5,
3.31,0.417,12.5,
3.65,0.486,12.5,
3.99,0.5,11.4,
4.32,0.573,12.5,
4.65,0.595,12.5,
5.0,0.647,13.8,
5.33,0.721,12.5,
5.66,0.731,12.5,
6.0,0.775,13.8,
6.33,0.849,12.5,
6.67,0.9,12.5,
7.0,0.9,12.5,
7.34,0.96,12.5,
7.67,1.0,12.5,
8.01,1.0,12.5,
8.35,1.0,12.5,
8.68,1.0,12.5,
9.01,1.0,12.5,
9.35,1.0,12.5,
9.69,1.0,13.8,
10.02,1.0,12.5,
10.35,1.0,12.5,
10.69,1.0,12.5,
11.03,1.0,12.5,
11.37,1.0,13.8,
11.7,1.0,12.5,
12.04,1.0,12.5,
12.37,1.0,12.5,
12.71,1.0,12.5,
13.04,1.0,12.5,
13.38,1.0,12.5,
13.72,1.0,12.5,
14.05,1.0,12.5,
14.39,1.0,12.5,
14.73,1.0,12.5,
15.06,1.0,12.5,
15.4,1.0,12.5,
15.73,1.0,12.5,
16.07,1.0,13.8,
16.4,1.0,12.5,
16.74,1.0,12.5,
17.07,1.0,12.5,
17.4,1.0,12.5,
17.74,1.0,12.5,
18.07,1.0,12.5,
18.41,1.0,11.4,
18.74,1.0,12.5,
19.08,1.0,13.8,
19.42,1.0,12.5,
19.75,1.0,12.5,
20.09,1.0,12.5,
20.43,1.0,12.5,
20.76,1.0,12.5,
21.09,1.0,12.5,
21.43,1.0,12.5,
21.77,1.0,12.5,
22.11,1.0,12.5,
22.44,1.0,12.5,
22.77,1.0,12.5,
23.11,1.0,12.5,
23.45,1.0,11.4,
23.78,1.0,12.5,
24.12,1.0,12.5,
24.46,1.0,12.5,
24.79,1.0,12.5,
25.13,1.0,12.5,
25.46,1.0,12.5,
25.79,1.0,12.5,
26.13,1.0,12.5,
26.47,1.0,12.5,
26.81,1.0,12.5,
27.14,1.0,11.4,
27.48,1.0,12.5,
27.82,1.0,12.5,
28.15,1.0,12.5,
28.48,1.0,11.4,
28.82,1.0,12.5,
29.15,1.0,12.5,
29.49,1.0,12.5,
29.82,1.0,12.5,
30.16,1.0,12.5,
30.5,1.0,12.5,
30.84,1.0,12.5,
31.17,1.0,12.5,
31.51,1.0,12.5,
31.84,1.0,12.5,
32.18,1.0,12.5,
32.52,1.0,12.5,
32.85,1.0,12.5,
33.18,1.0,12.5,
33.52,1.0,12.5,
33.85,1.0,12.5,
34.19,1.0,12.5,
34.53,1.0,12.5,
34.86,1.0,12.5,
35.2,1.0,12.5,
35.54,1.0,12.5,
35.87,1.0,12.5,
36.21,1.0,12.5,
36.54,1.0,12.5,
36.88,1.0,12.5,
37.21,1.0,12.5,
37.55,1.0,12.5,
37.88,1.0,12.5,
38.22,1.0,12.5,
38.56,1.0,12.5,
38.9,1.0,12.5,
39.23,1.0,12.5,
39.56,1.0,12.5,
39.9,1.0,12.5,
40.23,1.0,12.5,
40.57,1.0,12.5,
40.91,1.0,12.5,
41.24,1.0,12.5,
41.57,1.0,12.5,
41.91,1.0,12.5,
42.25,1.0,12.5,
42.58,1.0,12.5,
42.92,1.0,12.5,
43.25,1.0,12.5,
43.59,1.0,12.5,
43.93,1.0,12.5,
44.26,1.0,12.5,
44.6,1.0,13.8,
44.93,1.0,12.5,
45.27,1.0,12.5,
45.6,1.0,12.5,
45.94,1.0,12.5,
46.27,1.0,12.5,
46.61,1.0,12.5,
46.95,1.0,12.5,
47.28,1.0,12.5,
47.62,1.0,12.5,
47.95,1.0,12.5,
48.29,1.0,12.5,
48.63,1.0,12.5,
48.96,1.0,12.5,
49.3,1.1,12.5,
49.63,1.1,12.5,
49.97,1.1,12.5,
50.31,1.1,12.5,
50.64,1.1,12.5,
50.98,1.1,12.5,
51.32,1.1,13.8,
51.65,1.1,12.5,
51.99,1.1,12.5,
52.33,1.1,12.5,
52.66,1.1,12.5,
53.0,1.1,12.5,
53.33,1.1,12.5,
53.67,1.1,12.5,
54.01,1.1,12.5,
54.35,1.1,12.5,
54.68,1.1,12.5,
55.02,1.1,12.5,
55.35,1.1,12.5,
55.69,1.1,12.5,
56.03,1.1,12.5,
56.36,1.1,12.5,
56.7,1.1,12.5,
57.03,1.1,12.5,
57.37,1.1,12.5,
57.71,1.1,12.5,
58.04,1.1,12.5,
58.38,1.1,12.5,
58.71,1.1,12.5,
59.05,1.1,12.5,
59.4,1.1,13.8,
59.72,1.1,12.5,
60.06,1.1,12.5,
60.4,1.1,12.5,
60.73,1.1,12.5,
61.07,1.1,12.5,
61.41,1.1,13.8,
61.74,1.1,12.5,
62.07,1.1,12.5,
62.41,1.1,12.5,
62.75,1.1,12.5,
63.08,1.1,12.5,
63.42,1.1,12.5,
63.75,1.1,12.5,
64.09,1.1,12.5,
64.43,1.1,12.5,
64.76,1.1,12.5,
65.1,1.1,12.5,
65.44,1.1,13.8,
65.77,1.1,12.5,
66.11,1.1,12.5,
66.44,1.1,12.5,
66.78,1.1,12.5,
67.12,1.1,12.5,
67.45,1.1,12.5,
67.79,1.1,12.5,
68.13,1.1,12.5,
68.46,1.1,12.5,
68.8,1.1,12.5,
69.13,1.1,12.5,
69.47,1.1,12.5,
69.81,1.1,12.5,
70.14,1.1,12.5,
70.48,1.1,12.5,
70.82,1.1,13.8,
71.15,1.1,12.5,
71.48,1.1,12.5,
71.82,1.1,12.5,
72.16,1.1,12.5,
72.49,1.1,12.5,
72.83,1.1,11.4,
73.16,1.1,12.5,
73.5,1.1,12.5,
73.84,1.1,12.5,
74.17,1.1,12.5,
74.51,1.1,12.5,
74.84,1.1,12.5,
75.18,1.1,12.5,
75.52,1.1,12.5,
75.85,1.1,12.5,
76.19,1.1,12.5,
76.52,1.1,12.5,
76.86,1.1,12.5,
77.2,1.1,12.5,
77.53,1.1,12.5,
77.87,1.1,12.5,
78.2,1.1,12.5,
78.54,1.1,12.5,
78.87,1.1,12.5,
79.21,1.1,12.5,
79.54,1.1,12.5,
79.88,1.1,12.5,
80.22,1.1,12.5,
80.55,1.1,12.5,
80.89,1.1,12.5,
81.22,1.1,12.5,
81.56,1.1,12.5,
81.9,1.1,12.5,
82.23,1.1,12.5,
82.56,1.1,12.5,
82.9,1.1,12.5,
83.24,1.1,12.5,
83.57,1.1,12.5,
83.91,1.1,12.5,
84.24,1.1,12.5,
84.58,1.1,11.4,
84.92,1.1,12.5,
85.25,1.1,12.5,
85.59,1.1,12.5,
85.92,1.1,12.5,
86.26,1.1,12.5,
86.6,1.1,12.5,
86.93,1.1,12.5,
87.28,1.1,12.5,
87.61,1.1,11.4,
87.94,1.1,12.5,
88.28,1.1,12.5,
88.62,1.1,12.5,
88.95,1.1,12.5,
89.29,1.1,12.5,
89.62,1.1,12.5,
89.96,1.1,11.4,
90.3,1.1,12.5,
90.63,1.1,12.5,
90.97,1.1,12.5,
91.3,1.1,12.5,
91.64,1.1,12.5,
91.97,1.1,12.5,
92.31,1.1,12.5,
92.64,1.1,12.5,
92.98,1.1,12.5,
93.31,1.1,12.5,
93.65,1.1,12.5,
93.99,1.1,12.5,
94.32,1.1,12.5,
94.66,1.1,12.5,
95.0,1.1,12.5,
95.33,1.1,12.5,
95.67,1.1,12.5,
96.01,1.1,12.5,
96.35,1.1,12.5,
96.68,1.1,12.5,
97.01,1.1,12.5,
97.35,1.1,12.5,
97.69,1.1,12.5,
98.03,1.1,12.5,
98.36,1.1,12.5,
98.69,1.1,12.5,
99.03,1.1,12.5,
99.37,1.1,12.5,
99.71,1.1,12.5,
100.05,1.1,12.5,
100.38,1.1,12.5,
100.72,1.1,12.5,
101.05,1.1,12.5,
101.39,1.1,11.4,
101.72,1.1,12.5,
102.06,1.1,12.5,
102.4,1.1,12.5,
102.73,1.1,12.5,
103.07,1.1,12.5,
103.41,1.1,12.5,
103.74,1.1,12.5,
104.08,1.1,12.5,
104.41,1.1,12.5,
104.75,1.1,12.5,
105.09,1.1,13.8,
105.42,1.1,12.5,
105.75,1.1,12.5,
106.09,1.1,11.4,
106.43,1.1,12.5,
106.76,1.1,11.4,
107.1,1.1,12.5,
107.43,1.1,12.5,
107.77,1.1,12.5,
108.1,1.1,12.5,
108.44,1.1,12.5,
108.77,1.1,12.5,
109.11,1.1,12.5,
109.44,1.1,12.5,
109.78,1.1,12.5,
110.11,1.1,12.5,
110.45,1.1,12.5,
110.78,1.1,12.5,
111.12,1.1,12.5,
111.45,1.1,12.5,
111.79,1.1,12.5,
112.12,1.1,12.5,
112.46,1.1,12.5,
112.79,1.1,12.5,
113.13,1.1,12.5,
113.46,1.1,12.5,
113.8,1.1,12.5,
114.13,1.1,12.5,
114.47,1.1,12.5,
114.81,1.1,12.5,
115.14,1.1,12.5,
115.48,1.1,12.5,
115.81,1.1,12.5,
116.15,1.1,12.5,
116.49,1.1,13.8,
116.82,1.1,12.5,
117.15,1.1,12.5,
117.49,1.1,12.5,
117.83,1.1,12.5,
118.16,1.1,12.5,
118.49,1.1,12.5,
118.83,1.1,12.5,
119.16,1.1,12.5,
119.5,1.1,12.5,
119.83,1.1,12.5,
120.17,1.1,12.5,
120.5,1.1,12.5,
120.84,1.1,12.5,
121.17,1.1,12.5,
121.51,1.1,12.5,
121.85,1.1,12.5,
122.18,1.1,12.5,
122.51,1.1,12.5,
122.85,1.1,12.5,
123.19,1.1,12.5,
123.52,1.1,12.5,
123.85,1.1,12.5,
124.19,1.1,12.5,
124.53,1.1,12.5,
124.87,1.1,12.5,
125.2,1.1,12.5,
125.53,1.1,12.5,
125.87,1.1,12.5,
126.21,1.1,12.5,
126.54,1.1,12.5,
126.87,1.1,12.5,
127.21,1.1,12.5,
127.55,1.1,12.5,
127.88,1.1,12.5,
128.21,1.1,12.5,
128.55,1.1,12.5,
128.89,1.1,13.8,
129.22,1.1,12.5,
129.56,1.1,12.5,
129.89,1.1,12.5,
130.23,1.1,12.5,
130.57,1.1,12.5,
130.9,1.1,12.5,
131.23,1.1,12.5,
131.57,1.1,12.5,
131.9,1.1,12.5,
132.24,1.1,12.5,
132.58,1.1,12.5,
132.91,1.1,12.5,
133.25,1.1,12.5,
133.58,1.1,12.5,
133.92,1.1,12.5,
134.25,1.1,12.5,
134.6,1.1,12.5,
134.93,1.1,12.5,
135.26,1.1,12.5,
135.6,1.1,12.5,
135.94,1.1,12.5,
136.27,1.1,12.5,
136.6,1.1,12.5,
136.94,1.1,12.5,
137.28,1.1,12.5,
137.61,1.1,12.5,
137.94,1.1,12.5,
138.28,1.1,12.5,
138.62,1.1,12.5,
138.95,1.1,12.5,
139.28,1.1,12.5,
139.63,1.1,12.5,
139.96,1.1,12.5,
140.3,1.1,12.5,
140.63,1.1,12.5,
140.97,1.1,12.5,
141.3,1.1,12.5,
141.64,1.1,12.5,
141.97,1.1,12.5,
142.3,1.1,12.5,
142.64,1.1,12.5,
142.98,1.1,12.5,
143.31,1.1,12.5,
143.65,1.1,12.5,
143.98,1.1,12.5,
144.32,1.1,12.5,
144.66,1.1,12.5,
144.99,1.1,12.5,
145.33,1.1,12.5,
145.66,1.1,12.5,
146.0,1.1,12.5,
146.33,1.1,12.5,
146.67,1.1,12.5,
147.0,1.1,12.5,
147.34,1.1,12.5,
147.67,1.1,12.5,
148.01,1.1,12.5,
148.34,1.1,12.5,
148.68,1.1,12.5,
149.02,1.1,12.5,
149.35,1.1,12.5,
149.68,1.1,12.5,
150.02,1.1,12.5,
150.35,1.1,12.5,
150.69,1.1,13.8,
151.02,1.1,12.5,
151.36,1.1,12.5,
151.69,1.1,11.4,
152.02,1.1,12.5,
152.36,1.1,12.5,
152.69,1.1,12.5,
153.03,1.1,12.5,
153.36,1.1,12.5,
153.7,1.1,12.5,
154.03,1.1,12.5,
