time+,res,%cpu,total-runtime
0.54,0.071,12.5,102.34
0.88,0.118,12.5,
1.21,0.167,12.5,
1.55,0.203,12.5,
1.88,0.248,13.8,
2.21,0.29,12.5,
2.55,0.35,12.5,
2.88,0.397,12.5,
3.22,0.424,12.5,
3.55,0.45,12.5,
3.88,0.45,12.5,
4.22,0.45,12.5,
4.55,0.45,12.5,
4.88,0.45,12.5,
5.22,0.45,12.5,
5.55,0.45,12.5,
5.88,0.45,12.5,
6.22,0.45,12.5,
6.55,0.45,12.5,
6.89,0.45,12.5,
7.22,0.45,12.5,
7.5600000000000005,0.45,12.5,
7.89,0.45,12.5,
8.22,0.45,12.5,
8.56,0.45,12.5,
8.89,0.45,12.5,
9.22,0.45,12.5,
9.56,0.45,12.5,
9.89,0.45,12.5,
10.23,0.451,12.5,
10.56,0.452,12.5,
10.9,0.453,12.5,
11.23,0.454,12.5,
11.56,0.455,12.5,
11.9,0.457,12.5,
12.24,0.458,12.5,
12.57,0.459,12.5,
12.91,0.46,13.8,
13.24,0.462,12.5,
13.58,0.463,13.8,
13.91,0.464,12.5,
14.24,0.465,12.5,
14.58,0.466,12.5,
14.91,0.468,12.5,
15.25,0.469,12.5,
15.58,0.47,12.5,
15.92,0.471,12.5,
16.25,0.472,12.5,
16.58,0.474,11.2,
16.91,0.475,11.2,
17.26,0.476,13.8,
17.58,0.477,12.5,
17.92,0.478,12.5,
18.25,0.481,12.5,
18.59,0.481,12.5,
18.92,0.482,12.5,
19.26,0.482,13.8,
19.59,0.482,12.5,
19.93,0.482,12.5,
20.26,0.482,12.5,
20.6,0.482,12.5,
20.93,0.482,12.5,
21.26,0.482,12.5,
21.6,0.482,12.5,
21.93,0.482,12.5,
22.26,0.482,12.5,
22.6,0.493,12.5,
22.93,0.493,12.5,
23.26,0.493,12.5,
23.6,0.493,12.5,
23.93,0.493,11.4,
24.27,0.493,12.5,
24.6,0.493,12.5,
24.94,0.502,12.5,
25.27,0.502,12.5,
25.61,0.502,12.5,
25.94,0.502,11.4,
26.28,0.502,12.5,
26.61,0.502,12.5,
26.95,0.502,12.5,
27.28,0.502,12.5,
27.62,0.502,12.5,
27.96,0.502,13.8,
28.29,0.502,12.5,
28.62,0.502,12.5,
28.96,0.502,12.5,
29.29,0.502,12.5,
29.63,0.502,12.5,
29.97,0.502,12.5,
30.3,0.502,12.5,
30.64,0.502,12.5,
30.97,0.502,12.5,
31.31,0.502,12.5,
31.64,0.51,12.5,
31.98,0.514,12.5,
32.31,0.514,12.5,
32.64,0.514,12.5,
32.98,0.514,12.5,
33.32,0.514,12.5,
33.65,0.514,12.5,
33.98,0.514,12.5,
34.32,0.514,12.5,
34.66,0.514,12.5,
34.99,0.514,12.5,
35.32,0.514,12.5,
35.66,0.514,12.5,
36.0,0.514,12.5,
36.33,0.514,12.5,
36.66,0.514,12.5,
37.0,0.514,12.5,
37.33,0.514,12.5,
37.67,0.514,12.5,
38.0,0.514,12.5,
38.34,0.514,12.5,
38.67,0.514,12.5,
39.01,0.514,12.5,
39.34,0.514,12.5,
39.68,0.514,12.5,
40.01,0.514,12.5,
40.35,0.514,12.5,
40.68,0.514,12.5,
41.01,0.514,12.5,
41.35,0.514,12.5,
41.69,0.514,12.5,
42.02,0.514,12.5,
42.35,0.514,12.5,
42.69,0.514,12.5,
43.03,0.514,13.8,
43.36,0.514,12.5,
43.69,0.513,12.5,
44.03,0.513,12.5,
44.36,0.513,12.5,
44.7,0.513,12.5,
45.03,0.513,12.5,
45.37,0.513,12.5,
45.7,0.513,12.5,
46.03,0.513,12.5,
46.37,0.513,12.5,
46.71,0.513,13.8,
47.04,0.513,12.5,
47.37,0.513,12.5,
47.71,0.513,12.5,
48.04,0.513,11.4,
48.38,0.513,13.8,
48.71,0.513,12.5,
49.05,0.513,12.5,
49.38,0.513,12.5,
49.72,0.513,12.5,
50.05,0.513,12.5,
50.39,0.513,12.5,
50.73,0.513,13.8,
51.06,0.513,12.5,
51.39,0.513,12.5,
51.73,0.513,12.5,
52.06,0.513,12.5,
52.4,0.513,12.5,
52.73,0.513,12.5,
53.07,0.513,12.5,
53.4,0.513,12.5,
53.73,0.513,12.5,
54.07,0.513,12.5,
54.4,0.513,12.5,
54.74,0.513,12.5,
55.08,0.513,12.5,
55.41,0.513,12.5,
55.75,0.513,12.5,
56.08,0.513,12.5,
56.41,0.513,12.5,
56.75,0.513,12.5,
57.09,0.513,13.8,
57.42,0.513,12.5,
57.75,0.513,12.5,
58.09,0.513,12.5,
58.42,0.513,12.5,
58.76,0.513,13.8,
59.09,0.513,12.5,
59.43,0.513,12.5,
59.77,0.513,12.5,
60.1,0.513,12.5,
60.43,0.513,12.5,
60.77,0.513,12.5,
61.11,0.513,13.8,
61.44,0.513,12.5,
61.77,0.513,12.5,
62.11,0.513,12.5,
62.44,0.513,12.5,
62.78,0.513,13.8,
63.11,0.513,12.5,
63.45,0.513,12.5,
63.78,0.513,12.5,
64.11,0.513,12.5,
64.45,0.513,12.5,
64.79,0.513,12.5,
65.12,0.513,12.5,
65.46,0.513,12.5,
65.79,0.513,12.5,
66.13,0.513,12.5,
66.47,0.513,12.5,
66.8,0.513,12.5,
67.13,0.513,12.5,
67.47,0.513,12.5,
67.8,0.513,12.5,
68.14,0.513,12.5,
68.47,0.513,12.5,
68.81,0.513,12.5,
69.14,0.513,12.5,
69.47,0.513,12.5,
69.81,0.513,12.5,
70.15,0.513,12.5,
70.48,0.513,12.5,
70.81,0.513,12.5,
71.15,0.513,12.5,
71.48,0.513,12.5,
71.82,0.513,12.5,
72.15,0.513,12.5,
72.49,0.513,12.5,
72.83,0.513,12.5,
73.17,0.513,12.5,
73.5,0.513,12.5,
73.83,0.513,12.5,
74.17,0.513,12.5,
74.5,0.513,12.5,
74.84,0.513,12.5,
75.18,0.513,12.5,
75.51,0.513,12.5,
75.85,0.513,12.5,
76.18,0.513,12.5,
76.52,0.513,12.5,
76.85,0.513,12.5,
77.19,0.513,12.5,
77.52,0.513,12.5,
77.86,0.513,12.5,
78.19,0.513,12.5,
78.53,0.513,12.5,
78.86,0.513,12.5,
79.2,0.513,12.5,
79.53,0.513,12.5,
79.87,0.513,12.5,
80.21,0.513,12.5,
80.54,0.513,12.5,
80.88,0.513,12.5,
81.21,0.513,12.5,
81.55,0.513,12.5,
81.88,0.513,12.5,
82.22,0.513,12.5,
82.55,0.513,12.5,
82.89,0.513,12.5,
83.23,0.513,13.8,
83.56,0.513,12.5,
83.89,0.513,12.5,
84.23,0.513,12.5,
84.57,0.513,12.5,
84.91,0.513,12.5,
85.24,0.513,12.5,
85.57,0.513,12.5,
85.91,0.513,12.5,
86.25,0.513,12.5,
86.58,0.513,12.5,
86.92,0.513,12.5,
87.25,0.513,12.5,
87.59,0.513,12.5,
87.92,0.513,12.5,
88.26,0.513,12.5,
88.59,0.513,12.5,
88.93,0.513,12.5,
89.26,0.513,12.5,
89.6,0.513,12.5,
89.93,0.513,12.5,
90.27,0.513,12.5,
90.6,0.513,12.5,
90.94,0.513,12.5,
91.27,0.513,12.5,
91.61,0.513,12.5,
91.95,0.513,13.8,
92.28,0.513,12.5,
92.61,0.513,12.5,
92.95,0.513,12.5,
93.29,0.513,12.5,
93.62,0.513,12.5,
93.95,0.513,12.5,
94.29,0.513,12.5,
94.63,0.513,12.5,
94.96,0.513,12.5,
95.29,0.513,12.5,
95.63,0.513,12.5,
95.96,0.513,12.5,
96.3,0.513,12.5,
96.64,0.513,13.8,
96.97,0.513,12.5,
97.3,0.513,12.5,
97.64,0.513,11.4,
97.98,0.513,12.5,
98.31,0.513,12.5,
98.64,0.513,12.5,
98.98,0.513,12.5,
99.32,0.513,12.5,
99.65,0.513,12.5,
99.99,0.513,12.5,
100.32,0.513,12.5,
100.66,0.513,12.5,
100.99,0.513,12.5,
101.33,0.513,12.5,
101.66,0.513,12.5,
102.0,0.513,11.4,
102.34,0.163,12.5,
