time+,res,%cpu,total-runtime
0.58,0.074,12.5,278.39
0.91,0.122,12.5,
1.25,0.166,12.5,
1.58,0.209,11.2,
1.9100000000000001,0.258,12.5,
2.26,0.302,12.5,
2.59,0.337,12.5,
2.92,0.4,12.5,
3.26,0.437,11.2,
3.6,0.486,12.5,
3.94,0.525,13.8,
4.27,0.595,12.5,
4.61,0.598,11.4,
4.9399999999999995,0.673,12.5,
5.28,0.731,11.4,
5.61,0.731,12.5,
5.95,0.803,12.5,
6.28,0.878,12.5,
6.61,0.9,12.5,
6.95,0.91,12.5,
7.28,1.0,11.2,
7.62,1.0,12.5,
7.95,1.0,12.5,
8.29,1.0,12.5,
8.62,1.0,12.5,
8.96,1.0,12.5,
9.29,1.0,12.5,
9.63,1.0,12.5,
9.97,1.0,12.5,
10.3,1.0,12.5,
10.63,1.0,12.5,
10.97,1.0,12.5,
11.31,1.0,12.5,
11.64,1.0,12.5,
11.97,1.0,12.5,
12.31,1.0,12.5,
12.64,1.0,12.5,
12.98,1.0,12.5,
13.31,1.0,12.5,
13.65,1.0,12.5,
13.98,1.0,12.5,
14.32,1.0,12.5,
14.65,1.0,12.5,
14.99,1.0,12.5,
15.32,1.0,12.5,
15.66,1.0,12.5,
15.99,1.0,12.5,
16.33,1.0,12.5,
16.66,1.0,12.5,
17.0,1.0,12.5,
17.33,1.0,12.5,
17.67,1.0,12.5,
18.0,1.0,12.5,
18.34,1.0,12.5,
18.67,1.0,12.5,
19.01,1.0,12.5,
19.34,1.0,12.5,
19.67,1.0,12.5,
20.01,1.0,12.5,
20.35,1.0,12.5,
20.68,1.0,12.5,
21.01,1.0,12.5,
21.35,1.0,11.4,
21.69,1.0,12.5,
22.02,1.0,12.5,
22.35,1.0,12.5,
22.69,1.0,12.5,
23.02,1.0,12.5,
23.36,1.0,12.5,
23.69,1.0,12.5,
24.03,1.0,12.5,
24.36,1.0,12.5,
24.71,1.0,13.8,
25.04,1.0,12.5,
25.38,1.0,12.5,
25.71,1.0,12.5,
26.04,1.0,12.5,
26.38,1.0,12.5,
26.71,1.0,12.5,
