time+,res,%cpu,total-runtime
0.59,0.08,11.2,137.81
0.93,0.127,12.5,
1.26,0.17,12.5,
1.6,0.214,12.5,
1.9300000000000002,0.26,12.5,
2.27,0.302,13.8,
2.6,0.343,12.5,
2.94,0.411,13.8,
3.27,0.435,12.5,
3.6,0.507,12.5,
3.94,0.522,12.5,
4.27,0.598,12.5,
4.61,0.621,12.5,
4.9399999999999995,0.645,12.5,
5.27,0.645,12.5,
5.62,0.645,12.5,
5.95,0.645,12.5,
6.28,0.645,12.5,
6.62,0.645,12.5,
6.95,0.645,12.5,
7.29,0.645,13.8,
7.62,0.645,11.4,
7.96,0.645,12.5,
8.3,0.645,13.8,
8.63,0.645,12.5,
8.96,0.645,12.5,
9.3,0.645,12.5,
9.63,0.645,12.5,
9.96,0.645,12.5,
10.3,0.645,12.5,
10.63,0.645,12.5,
10.97,0.645,12.5,
11.3,0.645,12.5,
11.64,0.645,12.5,
11.97,0.645,12.5,
12.3,0.645,12.5,
12.64,0.645,12.5,
12.98,0.645,12.5,
13.31,0.645,12.5,
13.65,0.645,12.5,
13.98,0.645,12.5,
14.32,0.645,12.5,
14.65,0.645,12.5,
14.98,0.645,12.5,
15.31,0.645,11.2,
15.65,0.645,12.5,
15.98,0.647,12.5,
16.32,0.648,12.5,
16.65,0.649,12.5,
16.99,0.65,12.5,
17.32,0.651,12.5,
17.66,0.653,12.5,
17.99,0.654,11.4,
18.33,0.655,12.5,
18.66,0.656,12.5,
18.99,0.658,12.5,
19.33,0.659,12.5,
19.66,0.66,11.4,
19.99,0.661,12.5,
20.33,0.663,12.5,
20.66,0.664,12.5,
20.99,0.665,12.5,
21.33,0.666,12.5,
21.66,0.668,12.5,
21.99,0.669,12.5,
22.33,0.67,12.5,
22.67,0.671,12.5,
23.0,0.672,12.5,
23.34,0.674,12.5,
23.67,0.675,12.5,
24.01,0.676,12.5,
24.34,0.677,12.5,
24.67,0.679,12.5,
25.01,0.68,12.5,
25.34,0.681,12.5,
25.67,0.682,12.5,
26.01,0.683,12.5,
26.34,0.685,12.5,
26.68,0.685,12.5,
27.01,0.685,12.5,
27.35,0.69,12.5,
27.68,0.69,12.5,
28.01,0.69,12.5,
28.35,0.69,12.5,
28.68,0.69,12.5,
29.01,0.69,12.5,
29.35,0.69,12.5,
29.68,0.69,12.5,
30.02,0.69,12.5,
30.35,0.69,12.5,
30.69,0.69,12.5,
31.02,0.69,12.5,
31.35,0.69,12.5,
31.69,0.69,12.5,
32.02,0.69,12.5,
