time+,res,%cpu,total-runtime
0.6,0.076,12.5,53.79
0.94,0.124,13.8,
1.27,0.172,11.2,
1.6099999999999999,0.212,12.5,
1.94,0.261,12.5,
2.27,0.287,12.5,
2.61,0.287,12.5,
2.94,0.287,12.5,
3.2800000000000002,0.287,12.5,
3.61,0.287,12.5,
3.94,0.287,12.5,
4.28,0.287,12.5,
4.61,0.287,12.5,
4.95,0.287,12.5,
5.28,0.287,12.5,
5.62,0.287,12.5,
5.95,0.287,12.5,
6.28,0.287,12.5,
6.63,0.288,13.8,
6.96,0.29,12.5,
7.29,0.291,12.5,
7.63,0.292,12.5,
7.96,0.293,12.5,
8.29,0.294,12.5,
8.62,0.296,12.5,
8.96,0.297,12.5,
9.3,0.298,12.5,
9.63,0.299,12.5,
9.97,0.301,12.5,
10.3,0.302,12.5,
10.63,0.304,11.4,
10.97,0.304,12.5,
11.3,0.304,12.5,
11.63,0.304,12.5,
11.97,0.31,12.5,
12.3,0.31,12.5,
12.63,0.316,12.5,
12.97,0.316,12.5,
13.3,0.316,12.5,
13.63,0.316,12.5,
13.97,0.316,12.5,
14.3,0.323,12.5,
14.63,0.323,12.5,
14.97,0.323,12.5,
15.3,0.323,12.5,
15.64,0.323,12.5,
15.97,0.323,12.5,
16.31,0.323,12.5,
16.64,0.323,12.5,
16.97,0.323,12.5,
17.31,0.323,12.5,
17.64,0.323,12.5,
17.98,0.323,12.5,
18.31,0.323,12.5,
18.65,0.323,12.5,
18.98,0.323,12.5,
19.31,0.323,12.5,
19.65,0.323,12.5,
19.99,0.323,12.5,
20.32,0.323,12.5,
20.65,0.323,12.5,
20.99,0.323,12.5,
21.32,0.323,12.5,
21.66,0.323,12.5,
21.99,0.323,12.5,
22.33,0.323,12.5,
22.66,0.323,12.5,
22.99,0.323,12.5,
23.33,0.323,12.5,
23.66,0.323,12.5,
24.0,0.323,12.5,
24.33,0.323,12.5,
24.67,0.323,12.5,
25.0,0.323,12.5,
25.33,0.323,12.5,
25.67,0.323,12.5,
26.01,0.323,12.5,
26.35,0.323,12.5,
26.68,0.323,12.5,
27.01,0.323,12.5,
27.35,0.323,12.5,
27.68,0.323,12.5,
28.02,0.323,12.5,
28.35,0.323,12.5,
28.69,0.323,11.4,
29.02,0.323,12.5,
29.36,0.323,12.5,
29.69,0.323,12.5,
30.03,0.323,12.5,
30.36,0.323,12.5,
30.69,0.323,12.5,
31.03,0.323,12.5,
31.37,0.323,12.5,
31.71,0.323,12.5,
32.04,0.323,12.5,
32.37,0.323,12.5,
32.71,0.323,12.5,
33.05,0.323,12.5,
33.38,0.323,12.5,
33.71,0.323,12.5,
34.05,0.323,12.5,
34.38,0.323,12.5,
34.72,0.323,12.5,
35.05,0.323,12.5,
35.39,0.323,12.5,
35.73,0.323,12.5,
36.06,0.323,12.5,
36.39,0.323,12.5,
36.73,0.323,11.4,
37.06,0.323,12.5,
37.4,0.323,12.5,
37.73,0.323,12.5,
38.07,0.323,12.5,
38.4,0.323,12.5,
38.73,0.323,12.5,
39.07,0.323,12.5,
39.4,0.323,12.5,
39.74,0.323,12.5,
40.07,0.323,12.5,
40.41,0.323,12.5,
40.74,0.323,12.5,
41.07,0.323,12.5,
41.41,0.323,12.5,
41.75,0.323,12.5,
42.08,0.323,12.5,
42.41,0.323,12.5,
42.75,0.323,12.5,
43.08,0.323,12.5,
43.42,0.323,12.5,
43.75,0.323,12.5,
44.09,0.323,12.5,
44.42,0.323,12.5,
44.75,0.323,12.5,
45.09,0.323,12.5,
45.42,0.323,12.5,
45.76,0.323,12.5,
46.09,0.323,12.5,
46.43,0.323,12.5,
46.76,0.323,12.5,
47.09,0.323,12.5,
47.43,0.323,12.5,
47.77,0.323,12.5,
48.1,0.323,12.5,
48.43,0.323,12.5,
48.77,0.323,12.5,
49.1,0.323,12.5,
49.44,0.323,12.5,
49.77,0.323,12.5,
50.11,0.323,12.5,
50.44,0.323,12.5,
50.77,0.323,12.5,
51.11,0.323,12.5,
51.44,0.323,12.5,
51.78,0.323,12.5,
52.11,0.323,12.5,
52.45,0.323,11.4,
52.78,0.323,12.5,
53.12,0.323,12.5,
53.45,0.323,12.5,
53.79,0.323,12.5,
