gridsize vs. runtime,,,,,,,,,,
500,600.0,700.0,800.0,900.0,1000.0,1100.0,1200.0,1300.0,1400.0,1500.0
227.18,405.46,654.6,932.5,1384.84,1962.33,2315.9,3109.76,3965.64,3542.33,6799.19
