gridsize vs. memory,,,,,,,,,,,
time+,gs=500,gs=600,gs=700,gs=800,gs=900,gs=1000,gs=1100,gs=1200,gs=1300,gs=1400,gs=1500
5.7,,,,,,,,0.905,,,
5.71,,,0.513,,,,,,,,
5.71,,,,,,0.867,,,,,
5.75,,,,,,,,,,,0.955
5.95,0.293,,,,,,,,,,
5.96,,,,,,,1.0,,,,
5.97,,,,,0.819,,,,,,
5.99,,,,0.647,,,,,,,
6.0,,,,,,,,,0.963,,
6.02,,,,,,,,,,0.966,
6.03,,,,,,,,1.0,,,
6.04,,0.397,,,,,,,,,
6.04,,,0.513,,,,,,,,
6.04,,,,,,1.0,,,,,
6.09,,,,,,,,,,,0.959
6.28,0.295,,,,,,,,,,
6.29,,,,,,,1.0,,,,
6.3,,,,,0.819,,,,,,
6.33,,,,0.647,,,,,,,
6.33,,,,,,,,,0.972,,
6.36,,,,,,,,1.0,,,
6.36,,,,,,,,,,0.976,
6.37,,0.397,,,,,,,,,
6.37,,,0.513,,,,,,,,
6.38,,,,,,1.0,,,,,
6.42,,,,,,,,,,,1.0
6.61,0.296,,,,,,,,,,
6.63,,,,,,,1.0,,,,
6.64,,,,,0.819,,,,,,
6.66,,,,0.647,,,,,,,
6.67,,,,,,,,,1.1,,
6.69,,,,,,,,,,1.1,
6.7,,0.397,,,,,,,,,
6.7,,,,,,,,1.0,,,
6.71,,,0.513,,,,,,,,
6.71,,,,,,1.0,,,,,
6.76,,,,,,,,,,,1.1
6.94,0.298,,,,,,,,,,
6.96,,,,,,,1.1,,,,
6.97,,,,,0.819,,,,,,
6.99,,,,0.647,,,,,,,
7.0,,,,,,,,,1.2,,
7.01,,,,,,,,,,1.2,
7.03,,0.397,,,,,,,,,
7.03,,,,,,,,1.1,,,
7.04,,,0.513,,,,,,,,
7.04,,,,,,1.0,,,,,
7.09,,,,,,,,,,,1.2
7.28,0.299,,,,,,,,,,
7.3,,,,,0.819,,,,,,
7.3,,,,,,,1.2,,,,
7.33,,,,0.647,,,,,,,
7.34,,,,,,,,,1.2,,
7.36,,,,,,,,,,1.2,
7.37,,0.397,,,,,,,,,
7.37,,,,,,1.0,,,,,
7.37,,,,,,,,1.2,,,
7.38,,,0.513,,,,,,,,
7.43,,,,,,,,,,,1.2
7.61,0.301,,,,,,,,,,
7.63,,,,,,,1.2,,,,
7.64,,,,,0.819,,,,,,
7.66,,,,0.647,,,,,,,
7.67,,,,,,,,,1.2,,
7.689999999999999,,,,,,,,,,1.2,
7.7,,0.399,,,,,,,,,
7.71,,,0.513,,,,,,,,
7.71,,,,,,1.0,,,,,
7.71,,,,,,,,1.2,,,
7.76,,,,,,,,,,,1.2
7.939999999999999,0.303,,,,,,,,,,
7.96,,,,,,,1.2,,,,
7.97,,,,,0.819,,,,,,
7.99,,,,0.647,,,,,,,
8.0,,,,,,,,,1.3,,
8.03,,0.4,,,,,,,,,
8.03,,,,,,,,,,1.3,
8.04,,,0.513,,,,,,,,
8.04,,,,,,1.0,,,,,
8.05,,,,,,,,1.2,,,
8.09,,,,,,,,,,,1.3
8.27,0.304,,,,,,,,,,
8.3,,,,,0.819,,,,,,
8.3,,,,,,,1.2,,,,
8.33,,,,0.647,,,,,,,
8.34,,,,,,,,,1.4,,
8.35,,,,,,,,,,1.4,
8.37,,0.4,,,,,,,,,
8.37,,,,,,1.0,,,,,
8.38,,,0.513,,,,,,,,
8.38,,,,,,,,1.3,,,
8.43,,,,,,,,,,,1.4
8.61,0.307,,,,,,,,,,
8.63,,,,,0.819,,,,,,
8.63,,,,,,,1.2,,,,
8.66,,,,0.647,,,,,,,
8.67,,,,,,,,,1.5,,
8.69,,,,,,,,,,1.5,
8.7,,0.402,,,,,,,,,
8.7,,,,,,1.0,,,,,
8.71,,,0.513,,,,,,,,
8.71,,,,,,,,1.4,,,
8.76,,,,,,,,,,,1.5
8.94,0.307,,,,,,,,,,
8.96,,,,,0.819,,,,,,
8.96,,,,,,,1.2,,,,
8.99,,,,0.647,,,,,,,
9.01,,,,,,,,,1.5,,
9.02,,,,,,,,,,1.5,
9.03,,0.403,,,,,,,,,
9.04,,,0.513,,,,,,,,
9.04,,,,,,1.0,,,,,
9.04,,,,,,,,1.4,,,
9.1,,,,,,,,,,,1.5
9.27,0.312,,,,,,,,,,
9.3,,,,,0.819,,,,,,
9.3,,,,,,,1.2,,,,
9.33,,,,0.647,,,,,,,
9.34,,,,,,,,,1.5,,
9.36,,0.405,,,,,,,,,
9.36,,,,,,,,,,1.5,
9.37,,,,,,1.0,,,,,
