gridsize vs. avg cpu usage,,,,,,,,,,
500,600.0,700.0,800.0,900.0,1000.0,1100.0,1200.0,1300.0,1400.0,1500.0
6.205588235294043,6.207084019769233,6.207959183673607,6.203689111748164,6.205282199711017,6.208869594824833,6.208348954577959,6.206560721571082,6.2057253515184,6.208645478621639,6.2048980998306
