gene length vs. avg cpu % (hw=csel-kh1250-13),,,,,,
2-0,3-0,4-0,5-0,6-0,7-0,8-0
6.2,6.2,6.2,6.2,6.200000000000001,6.212500000000001,6.154545454545455
