gridsize vs. peak memory consumption,,,,,,,,,,
500,600.0,700.0,800.0,900.0,1000.0,1100.0,1200.0,1300.0,1400.0,1500.0
0.391,0.531,0.663,0.841,1.1,1.3,1.4,1.8,2.0,2.2,2.6
