time+,res,%cpu,total-runtime
0.33,48228,13.8,17.04
0.66,72372,11.2,
1.0,72560,12.5,
1.34,72816,12.5,
1.6800000000000002,74612,12.5,
2.02,78080,12.5,
2.36,78080,12.5,
2.71,80656,13.8,
3.05,80656,12.5,
3.4,80656,12.5,
3.74,80656,12.5,
4.08,81456,13.8,
4.42,83264,12.5,
4.76,86864,12.5,
5.1,86864,12.5,
5.44,86864,12.5,
5.78,86864,12.5,
6.12,87128,12.5,
6.46,88264,12.5,
6.8,89944,12.5,
7.15,89944,12.5,
7.49,89944,12.5,
7.83,89944,12.5,
8.18,92000,13.8,
8.52,92000,12.5,
8.86,92000,12.5,
9.2,92616,12.5,
9.54,92616,12.5,
9.89,92616,12.5,
10.23,92616,12.5,
10.57,92616,13.8,
10.91,92616,12.5,
11.25,92616,12.5,
11.59,92616,11.4,
11.93,93128,12.5,
12.27,93128,12.5,
12.61,93128,12.5,
12.95,93128,12.5,
13.29,93128,12.5,
13.63,93128,12.5,
13.98,93128,12.5,
14.32,93128,12.5,
14.66,93128,12.5,
15.0,90348,12.5,
15.34,90348,12.5,
15.68,90348,12.5,
16.02,90348,12.5,
16.36,90348,12.5,
16.7,90348,12.5,
17.04,90348,12.5,
