time+,res,%cpu,total-runtime
0.81,0.056,6.2,4.2
1.15,0.087,6.9,
1.48,0.089,6.2,
1.83,0.093,6.2,
2.17,0.096,6.2,
2.5,0.099,5.6,
2.84,0.101,6.2,
3.18,0.104,5.6,
3.52,0.104,6.2,
3.86,0.105,6.2,
4.2,0.105,6.2,
