time+,res,%cpu,total-runtime
0.66,0.057,6.2,932.5
0.99,0.118,6.2,
1.32,0.168,6.2,
1.67,0.227,6.2,
1.99,0.273,6.2,
2.33,0.326,6.2,
2.67,0.395,6.2,
3.0,0.466,6.2,
3.33,0.489,6.2,
3.67,0.588,6.2,
4.0,0.597,6.2,
4.33,0.647,6.2,
4.66,0.647,6.2,
4.99,0.647,6.2,
5.33,0.647,6.2,
5.66,0.647,6.2,
5.99,0.647,6.2,
6.33,0.647,6.2,
6.66,0.647,6.2,
6.99,0.647,6.2,
7.33,0.647,6.2,
7.66,0.647,6.2,
7.99,0.647,6.2,
8.33,0.647,6.2,
8.66,0.647,6.2,
8.99,0.647,6.2,
9.33,0.647,6.2,
9.66,0.647,6.2,
9.99,0.647,6.2,
10.32,0.647,6.2,
10.65,0.647,6.2,
10.99,0.647,6.2,
11.32,0.647,6.2,
11.65,0.647,6.2,
11.99,0.647,6.2,
12.32,0.648,6.2,
12.65,0.65,6.2,
12.99,0.651,6.2,
13.32,0.653,6.2,
13.65,0.654,6.2,
13.98,0.656,6.2,
14.32,0.658,6.2,
14.65,0.659,6.2,
14.98,0.661,6.2,
15.32,0.663,6.2,
15.65,0.664,6.2,
15.99,0.666,6.9,
16.32,0.667,6.2,
16.65,0.669,6.2,
16.99,0.671,6.2,
17.32,0.672,6.2,
17.65,0.674,6.2,
17.98,0.675,6.2,
18.31,0.677,6.2,
18.64,0.679,6.2,
18.97,0.68,6.2,
19.31,0.682,6.2,
19.64,0.684,6.2,
19.97,0.685,6.2,
20.31,0.687,6.2,
20.64,0.688,6.2,
20.97,0.692,6.2,
21.31,0.693,6.2,
21.64,0.693,6.2,
21.97,0.693,6.2,
22.3,0.693,6.2,
22.63,0.693,6.2,
22.97,0.693,6.2,
23.3,0.693,6.2,
23.63,0.693,6.2,
23.96,0.693,6.2,
24.29,0.693,6.2,
24.62,0.693,6.2,
24.96,0.698,6.2,
25.29,0.698,6.2,
25.62,0.706,5.6,
25.96,0.706,6.2,
26.3,0.715,6.2,
26.63,0.715,6.2,
26.96,0.715,6.2,
27.29,0.715,6.2,
27.63,0.715,6.2,
27.96,0.723,6.2,
28.29,0.725,6.2,
28.63,0.725,6.2,
28.96,0.725,6.2,
29.29,0.725,6.2,
29.62,0.725,6.2,
29.96,0.725,6.2,
30.29,0.725,6.2,
30.62,0.725,6.2,
30.95,0.725,6.2,
31.29,0.725,6.2,
31.62,0.725,6.2,
31.95,0.725,6.2,
32.29,0.725,6.2,
32.62,0.725,6.2,
32.95,0.725,6.2,
33.29,0.725,6.2,
33.62,0.725,6.2,
33.95,0.725,6.2,
34.28,0.725,6.2,
34.62,0.725,6.2,
34.95,0.725,6.2,
35.28,0.725,6.2,
35.62,0.725,6.2,
35.95,0.725,6.2,
36.28,0.724,6.2,
36.62,0.724,6.2,
36.95,0.724,6.2,
37.28,0.724,6.2,
37.62,0.724,6.2,
37.95,0.724,6.2,
38.29,0.724,6.2,
38.62,0.724,6.2,
38.96,0.724,6.2,
39.29,0.724,6.2,
39.62,0.724,6.2,
39.96,0.724,6.2,
40.29,0.724,6.2,
40.62,0.724,6.2,
40.96,0.724,6.2,
41.29,0.724,6.2,
41.62,0.724,6.2,
41.96,0.724,6.2,
42.29,0.724,6.2,
42.63,0.724,6.2,
42.96,0.724,6.2,
43.3,0.724,6.2,
43.63,0.724,6.2,
43.96,0.724,6.2,
44.3,0.724,6.2,
44.63,0.724,6.2,
44.96,0.724,6.2,
45.3,0.724,6.2,
45.63,0.724,6.2,
45.96,0.724,6.2,
46.3,0.724,6.2,
46.64,0.724,6.2,
46.97,0.724,6.2,
47.3,0.724,6.2,
47.64,0.724,6.2,
47.97,0.724,6.2,
48.3,0.724,6.2,
48.64,0.724,6.2,
48.97,0.724,6.2,
49.3,0.724,5.7,
49.64,0.724,6.2,
49.97,0.724,6.2,
50.3,0.724,6.2,
50.64,0.724,6.2,
50.97,0.724,6.2,
51.31,0.724,6.2,
51.64,0.724,6.2,
51.98,0.724,6.2,
52.31,0.724,6.2,
52.64,0.724,6.2,
52.98,0.724,6.2,
53.31,0.724,6.2,
53.64,0.724,6.2,
53.98,0.724,6.2,
54.31,0.724,6.2,
54.65,0.724,6.2,
54.98,0.724,6.2,
55.32,0.724,6.2,
55.65,0.724,6.2,
55.98,0.724,6.2,
56.32,0.724,6.2,
56.65,0.724,6.2,
56.98,0.724,6.2,
57.32,0.724,6.2,
57.65,0.724,6.2,
57.99,0.724,6.2,
58.32,0.724,6.2,
58.65,0.724,6.2,
58.99,0.724,6.2,
59.32,0.724,6.2,
59.66,0.724,6.2,
59.99,0.724,6.2,
60.32,0.724,6.2,
60.66,0.724,6.2,
60.99,0.724,6.2,
61.32,0.724,6.2,
61.66,0.724,6.2,
61.99,0.724,6.2,
62.33,0.724,6.2,
62.66,0.724,6.2,
63.0,0.724,6.2,
63.33,0.724,6.2,
63.66,0.724,6.2,
64.0,0.724,6.2,
64.33,0.724,6.2,
64.66,0.724,6.2,
65.0,0.724,6.2,
65.33,0.724,6.2,
65.67,0.724,6.2,
66.0,0.724,6.2,
66.34,0.724,6.2,
66.67,0.724,6.2,
67.0,0.724,6.2,
67.34,0.724,6.2,
67.67,0.724,6.2,
68.0,0.724,6.2,
68.34,0.724,6.2,
68.67,0.724,6.2,
69.01,0.724,6.2,
69.34,0.724,6.2,
69.68,0.724,6.2,
70.01,0.724,6.2,
70.34,0.724,6.2,
70.68,0.724,6.2,
71.01,0.724,6.2,
71.34,0.724,6.2,
71.68,0.724,6.2,
72.01,0.724,6.2,
72.35,0.724,6.9,
72.68,0.724,6.2,
73.01,0.724,6.2,
73.35,0.724,6.2,
73.68,0.724,6.2,
74.02,0.724,6.2,
74.35,0.724,6.2,
74.68,0.724,6.2,
75.02,0.724,6.2,
75.35,0.724,6.2,
75.68,0.724,6.2,
76.02,0.724,6.2,
76.35,0.724,6.2,
76.69,0.724,6.9,
77.02,0.724,6.2,
77.35,0.724,6.2,
77.69,0.724,6.2,
78.02,0.724,6.2,
78.36,0.724,6.2,
78.69,0.724,6.2,
79.02,0.724,6.2,
79.36,0.724,6.2,
79.69,0.724,6.2,
80.02,0.724,6.2,
80.36,0.724,6.2,
80.69,0.724,6.2,
81.02,0.724,6.2,
81.36,0.724,6.2,
81.7,0.724,6.2,
82.03,0.724,6.2,
82.36,0.724,6.2,
82.7,0.724,6.2,
83.03,0.724,6.2,
83.36,0.724,6.2,
83.7,0.724,6.2,
84.03,0.724,6.2,
84.36,0.724,6.2,
84.7,0.724,6.2,
85.03,0.724,6.2,
85.36,0.724,6.2,
85.7,0.724,6.2,
86.03,0.724,6.2,
86.37,0.724,6.2,
86.7,0.724,6.2,
87.03,0.724,6.2,
87.37,0.724,6.2,
87.7,0.724,6.2,
88.03,0.724,6.2,
88.37,0.724,6.2,
88.7,0.724,6.2,
89.03,0.724,6.2,
89.37,0.724,6.2,
89.7,0.724,5.7,
90.03,0.724,6.2,
90.37,0.724,6.2,
90.71,0.724,6.9,
91.04,0.724,6.2,
91.37,0.724,6.2,
91.71,0.724,6.2,
92.04,0.724,6.2,
92.37,0.724,6.2,
92.71,0.724,6.2,
93.05,0.724,6.2,
93.38,0.724,6.2,
93.71,0.724,6.2,
94.05,0.724,6.2,
94.38,0.724,6.2,
94.71,0.724,6.2,
95.05,0.724,6.2,
95.38,0.724,6.2,
95.71,0.724,6.2,
96.05,0.724,6.2,
96.38,0.724,6.2,
96.71,0.724,6.2,
97.05,0.724,6.2,
97.38,0.724,6.2,
97.71,0.724,6.2,
98.05,0.724,6.2,
98.38,0.724,5.7,
98.72,0.724,6.2,
99.05,0.724,6.2,
99.38,0.724,6.2,
99.72,0.724,6.2,
100.05,0.724,6.2,
100.39,0.724,6.2,
100.72,0.724,6.2,
101.05,0.724,6.2,
101.39,0.724,6.2,
101.72,0.724,6.2,
102.05,0.724,6.2,
102.39,0.724,6.2,
102.72,0.724,6.2,
103.05,0.724,6.2,
103.39,0.724,6.2,
103.72,0.724,6.2,
104.06,0.724,6.9,
104.39,0.724,6.2,
104.72,0.724,6.2,
105.06,0.724,6.2,
105.39,0.724,6.2,
105.73,0.724,6.2,
106.06,0.724,6.2,
106.39,0.724,6.2,
106.73,0.724,6.2,
107.06,0.724,6.2,
107.39,0.724,6.2,
107.73,0.724,6.2,
108.06,0.724,5.7,
108.4,0.724,6.2,
108.73,0.724,6.2,
109.06,0.724,6.2,
109.4,0.724,6.2,
109.73,0.724,6.2,
110.07,0.724,6.2,
110.4,0.724,6.2,
110.73,0.724,6.2,
111.07,0.724,6.2,
111.4,0.724,6.2,
111.74,0.724,6.2,
112.07,0.724,6.2,
112.4,0.724,6.2,
112.74,0.724,6.2,
113.07,0.724,6.2,
113.41,0.724,6.2,
113.74,0.724,6.2,
114.07,0.724,6.2,
114.41,0.724,6.2,
114.74,0.724,6.2,
115.07,0.724,6.2,
115.41,0.724,6.2,
115.74,0.724,6.2,
116.07,0.724,6.2,
116.41,0.724,6.2,
116.75,0.724,6.9,
117.08,0.724,6.2,
117.41,0.724,5.7,
117.75,0.724,6.2,
118.08,0.724,6.2,
118.41,0.724,6.2,
118.75,0.724,6.2,
119.08,0.724,6.2,
119.41,0.724,6.2,
119.75,0.724,6.2,
120.08,0.724,6.2,
120.41,0.724,6.2,
120.75,0.724,6.9,
121.08,0.733,6.9,
121.41,0.733,6.2,
121.74,0.733,6.2,
122.07,0.733,6.2,
122.41,0.733,6.2,
122.74,0.733,6.2,
123.07,0.733,6.2,
123.41,0.733,6.2,
123.74,0.733,6.2,
124.07,0.733,6.2,
124.4,0.733,6.2,
124.74,0.733,6.9,
125.07,0.733,6.2,
125.4,0.733,6.2,
125.73,0.733,6.2,
126.07,0.733,6.2,
126.4,0.733,6.2,
126.73,0.733,6.2,
127.07,0.743,6.2,
127.4,0.747,6.2,
127.73,0.747,6.2,
128.06,0.747,6.2,
128.4,0.747,6.2,
128.73,0.747,6.2,
129.07,0.747,6.2,
129.4,0.747,6.2,
129.73,0.747,6.2,
130.07,0.747,6.2,
130.4,0.747,6.2,
130.73,0.747,6.2,
131.07,0.747,6.2,
131.4,0.747,6.2,
131.73,0.747,6.2,
132.07,0.747,6.2,
132.4,0.747,6.2,
132.73,0.747,6.2,
133.07,0.747,6.2,
133.4,0.747,6.2,
133.74,0.747,6.2,
134.07,0.747,6.2,
134.4,0.747,6.2,
134.74,0.747,6.2,
135.07,0.747,6.2,
135.4,0.747,6.2,
135.74,0.747,6.2,
136.07,0.747,6.2,
136.41,0.747,6.2,
136.74,0.747,6.2,
137.07,0.747,6.2,
137.41,0.747,6.2,
137.74,0.747,6.2,
138.08,0.747,6.2,
138.41,0.747,6.2,
138.74,0.747,6.2,
139.08,0.747,6.2,
139.41,0.747,6.2,
139.75,0.747,6.2,
140.08,0.747,6.2,
140.41,0.747,6.2,
140.75,0.747,6.2,
141.08,0.747,6.2,
141.42,0.747,6.2,
141.75,0.746,6.2,
142.09,0.746,6.2,
142.42,0.746,6.2,
142.75,0.746,6.2,
143.09,0.746,6.2,
143.42,0.746,6.2,
143.75,0.746,6.2,
144.09,0.746,6.2,
144.42,0.746,6.2,
144.75,0.746,6.2,
145.09,0.746,6.2,
145.42,0.746,6.2,
145.76,0.746,6.2,
146.09,0.746,6.2,
146.43,0.746,6.9,
146.76,0.746,6.2,
147.09,0.746,6.2,
147.42,0.746,6.2,
147.76,0.746,6.2,
148.09,0.746,6.2,
148.43,0.746,6.2,
148.76,0.746,6.2,
149.09,0.746,6.2,
149.43,0.746,6.2,
149.76,0.746,6.2,
150.1,0.746,6.2,
150.43,0.746,5.7,
150.76,0.746,6.2,
151.1,0.746,6.2,
151.44,0.746,6.2,
151.77,0.746,6.2,
152.1,0.746,6.2,
152.44,0.746,6.2,
152.77,0.746,6.2,
153.1,0.746,6.2,
153.44,0.746,6.2,
153.77,0.746,6.2,
154.1,0.746,6.2,
154.44,0.746,6.2,
154.77,0.746,6.2,
155.11,0.746,6.9,
155.44,0.746,6.2,
155.78,0.746,6.9,
156.11,0.746,6.2,
156.44,0.746,6.2,
156.78,0.746,6.2,
157.11,0.746,6.2,
157.44,0.746,6.2,
157.78,0.746,6.2,
158.11,0.746,6.2,
158.44,0.746,6.2,
158.78,0.746,6.2,
159.11,0.746,6.2,
159.44,0.746,6.2,
159.78,0.746,6.2,
160.11,0.746,6.2,
160.45,0.746,6.2,
160.78,0.746,6.2,
161.12,0.746,6.9,
161.45,0.746,6.2,
161.78,0.746,6.2,
162.12,0.746,6.2,
162.45,0.746,5.7,
162.78,0.746,6.2,
163.12,0.746,6.2,
163.45,0.746,6.2,
163.78,0.746,6.2,
164.12,0.746,6.2,
164.45,0.746,6.2,
164.79,0.746,6.2,
165.12,0.746,5.7,
165.45,0.746,6.2,
165.79,0.746,6.2,
166.12,0.746,6.2,
166.46,0.746,6.9,
166.79,0.746,6.2,
167.12,0.746,6.2,
167.46,0.746,6.2,
167.79,0.746,6.2,
168.12,0.746,6.2,
168.46,0.746,6.2,
168.79,0.746,6.2,
169.12,0.746,6.2,
169.46,0.746,6.2,
169.79,0.746,6.2,
170.13,0.746,6.9,
170.46,0.746,6.2,
170.79,0.746,6.2,
171.13,0.746,6.2,
171.46,0.746,5.7,
171.8,0.746,6.9,
172.13,0.746,6.2,
172.46,0.746,6.2,
172.8,0.746,6.2,
173.13,0.746,6.2,
173.46,0.746,6.2,
173.8,0.746,6.2,
174.12,0.756,5.6,
174.45,0.756,6.2,
174.79,0.756,6.9,
175.12,0.756,6.2,
175.45,0.756,6.2,
175.78,0.756,6.2,
176.12,0.756,6.2,
176.45,0.756,6.2,
176.78,0.756,6.2,
177.12,0.756,6.2,
177.45,0.756,6.2,
177.78,0.756,6.2,
178.12,0.756,6.2,
178.45,0.756,6.2,
178.79,0.756,6.2,
179.12,0.756,6.2,
179.45,0.756,6.2,
179.78,0.756,6.2,
180.12,0.756,6.2,
180.45,0.756,6.2,
180.79,0.756,6.2,
181.12,0.756,6.2,
181.46,0.756,6.9,
181.79,0.756,6.2,
182.12,0.756,6.2,
182.46,0.772,6.2,
182.79,0.772,6.2,
183.13,0.772,6.2,
183.46,0.772,6.2,
183.8,0.772,6.2,
184.13,0.772,6.2,
184.47,0.772,6.9,
184.8,0.772,6.2,
185.13,0.772,6.2,
