time+,res,%cpu,total-runtime
0.63,0.056,6.2,36.98
0.95,0.111,5.6,
1.3,0.169,6.9,
1.62,0.224,6.2,
1.97,0.289,6.2,
2.3,0.289,6.2,
2.63,0.289,6.2,
2.9699999999999998,0.289,6.2,
3.3,0.289,6.2,
3.63,0.289,6.2,
3.96,0.289,6.2,
4.29,0.289,6.2,
4.63,0.289,6.2,
4.96,0.289,6.2,
5.29,0.289,6.2,
5.63,0.291,5.7,
5.96,0.292,6.2,
6.29,0.294,6.2,
6.63,0.296,6.2,
6.96,0.297,6.2,
7.29,0.299,6.2,
7.62,0.3,6.2,
7.95,0.302,6.2,
8.29,0.304,6.2,
8.62,0.307,6.2,
8.95,0.307,6.2,
9.28,0.307,6.2,
9.61,0.312,6.2,
9.94,0.319,5.6,
10.28,0.319,6.2,
10.61,0.319,6.2,
10.94,0.325,6.2,
11.28,0.325,6.2,
11.61,0.325,6.2,
11.94,0.325,6.2,
12.27,0.325,6.2,
12.6,0.325,6.2,
12.93,0.325,6.2,
13.26,0.326,6.2,
13.6,0.326,6.2,
13.93,0.326,6.2,
14.26,0.326,6.2,
14.6,0.326,6.2,
14.93,0.326,6.2,
15.26,0.326,6.2,
15.6,0.326,6.2,
15.93,0.326,6.2,
16.26,0.326,6.2,
16.6,0.326,6.2,
16.93,0.326,6.2,
17.26,0.326,6.2,
17.6,0.326,6.2,
17.93,0.326,6.2,
18.26,0.326,6.2,
18.6,0.326,6.2,
18.93,0.326,6.2,
19.27,0.326,6.2,
19.6,0.326,6.2,
19.94,0.326,6.9,
20.27,0.326,6.2,
20.6,0.326,6.2,
20.94,0.326,6.2,
21.27,0.326,6.2,
21.61,0.326,6.2,
21.94,0.326,6.2,
22.28,0.326,6.2,
22.62,0.326,6.2,
22.95,0.326,6.2,
23.29,0.326,6.2,
23.62,0.326,6.2,
23.96,0.326,6.2,
24.29,0.326,6.2,
24.62,0.326,6.2,
24.96,0.326,6.2,
25.29,0.326,6.2,
25.62,0.326,6.2,
25.96,0.326,6.2,
26.29,0.326,6.2,
26.63,0.326,6.2,
26.96,0.326,6.2,
27.3,0.326,6.2,
27.63,0.326,6.2,
27.96,0.326,6.2,
28.3,0.326,6.2,
28.63,0.326,6.2,
28.96,0.326,6.2,
29.3,0.326,6.2,
29.63,0.326,6.2,
29.96,0.326,5.7,
30.3,0.326,6.2,
30.63,0.326,6.2,
30.96,0.326,6.2,
31.3,0.326,6.2,
31.64,0.326,6.2,
31.97,0.326,6.2,
32.3,0.326,6.2,
32.64,0.326,6.2,
32.97,0.326,6.2,
33.3,0.326,6.2,
33.64,0.326,6.2,
33.97,0.326,6.2,
34.31,0.326,6.9,
34.64,0.326,6.2,
34.98,0.326,6.2,
35.31,0.326,6.2,
35.64,0.326,6.2,
35.98,0.326,6.2,
36.31,0.326,6.2,
36.64,0.326,5.7,
36.98,0.326,6.2,
