time+,total-runtime
0.47,4880.53
0.81,
1.1400000000000001,
1.49,
1.83,
2.16,
2.5,
2.85,
3.19,
3.52,
3.86,
4.2,
4.54,
4.88,
5.22,
5.55,
5.89,
6.23,
6.57,
6.91,
7.25,
7.59,
7.9399999999999995,
8.26,
8.61,
8.94,
9.28,
9.61,
9.96,
10.3,
10.65,
10.99,
11.33,
11.66,
12.0,
12.34,
12.68,
13.02,
13.36,
13.7,
14.04,
14.38,
14.71,
15.05,
15.39,
15.73,
16.07,
16.41,
16.75,
17.09,
17.44,
17.77,
18.11,
18.45,
18.79,
19.13,
19.46,
19.8,
20.14,
20.48,
20.82,
21.16,
21.5,
21.83,
22.17,
22.51,
22.85,
23.18,
23.52,
23.86,
24.2,
24.54,
24.88,
25.21,
25.55,
25.89,
26.23,
26.57,
26.9,
27.24,
27.58,
27.92,
28.26,
28.6,
28.93,
29.27,
29.61,
29.95,
30.29,
30.62,
30.96,
31.3,
31.64,
31.98,
32.32,
32.66,
32.99,
33.33,
33.67,
34.01,
34.35,
34.69,
35.03,
35.37,
35.71,
36.05,
36.39,
36.73,
37.06,
37.41,
37.75,
38.08,
38.42,
38.76,
39.1,
39.44,
39.78,
40.12,
40.46,
40.8,
41.14,
41.48,
41.82,
42.16,
42.5,
42.84,
43.18,
43.52,
43.86,
44.2,
44.54,
44.88,
45.22,
45.56,
45.9,
46.24,
46.58,
46.92,
47.26,
47.6,
47.94,
48.27,
48.61,
48.95,
49.29,
49.63,
49.97,
50.3,
50.64,
50.98,
51.32,
51.66,
51.99,
52.33,
52.67,
53.01,
53.35,
53.69,
54.03,
54.37,
54.71,
55.04,
55.38,
55.72,
56.07,
56.4,
56.74,
57.08,
57.42,
57.76,
58.1,
58.44,
58.78,
59.12,
59.45,
59.79,
60.13,
60.47,
60.81,
61.15,
61.5,
61.84,
62.17,
62.5,
62.85,
63.18,
63.53,
63.86,
64.2,
64.54,
64.87,
65.21,
65.55,
65.89,
66.23,
66.58,
66.92,
67.25,
67.6,
67.93,
68.27,
68.61,
68.94,
69.28,
69.62,
69.96,
70.3,
70.64,
70.97,
71.31,
71.64,
71.99,
72.32,
72.67,
73.0,
73.34,
73.67,
74.01,
74.35,
74.68,
75.02,
75.36,
75.7,
76.04,
76.37,
76.71,
77.06,
77.39,
77.72,
78.07,
78.41,
78.73,
79.07,
79.42,
79.76,
80.09,
80.43,
80.76,
81.1,
81.45,
81.77,
82.12,
82.46,
82.79,
83.12,
83.46,
83.8,
84.15,
84.48,
84.82,
85.15,
85.49,
85.83,
86.17,
86.5,
86.84,
87.18,
87.52,
87.85,
88.2,
88.53,
88.87,
89.2,
89.55,
89.88,
90.23,
90.56,
90.9,
91.24,
91.58,
91.91,
92.24,
92.59,
92.92,
93.26,
93.6,
93.93,
94.27,
94.61,
94.95,
95.28,
95.62,
95.96,
96.3,
96.63,
96.97,
97.31,
97.64,
97.99,
98.32,
98.65,
99.0,
99.33,
99.67,
100.0,
100.34,
100.68,
101.02,
101.37,
101.7,
102.03,
102.37,
102.71,
103.05,
103.39,
103.73,
104.07,
104.4,
104.74,
105.07,
105.41,
105.75,
106.09,
106.42,
106.77,
107.1,
107.44,
107.78,
108.11,
108.45,
108.79,
109.13,
109.47,
109.8,
110.15,
110.49,
110.82,
111.17,
111.51,
111.84,
112.18,
112.52,
112.86,
113.19,
113.54,
113.87,
114.21,
114.55,
114.89,
115.23,
115.57,
115.91,
116.25,
116.58,
116.92,
117.26,
117.6,
117.93,
118.27,
118.61,
118.95,
119.29,
119.63,
119.96,
120.3,
120.64,
120.98,
121.32,
121.65,
121.99,
122.33,
122.67,
123.01,
123.35,
123.68,
124.02,
124.36,
124.69,
125.03,
125.37,
125.71,
126.05,
126.39,
126.73,
127.06,
127.41,
127.75,
128.09,
128.42,
128.76,
129.1,
129.44,
129.78,
130.11,
130.45,
130.8,
131.14,
131.48,
131.81,
132.15,
132.49,
132.83,
133.17,
133.51,
133.85,
134.19,
134.53,
134.87,
135.21,
135.55,
135.88,
136.22,
136.56,
136.9,
137.23,
137.57,
137.91,
138.25,
138.59,
138.93,
139.27,
139.61,
139.95,
140.29,
140.63,
140.97,
141.31,
141.65,
141.99,
142.33,
142.67,
143.01,
143.35,
143.69,
144.02,
144.36,
144.7,
145.04,
145.38,
145.72,
146.06,
146.4,
146.74,
147.08,
147.42,
147.76,
148.1,
148.43,
148.77,
149.11,
149.45,
149.79,
150.13,
150.47,
150.81,
151.15,
151.49,
151.83,
152.17,
152.51,
152.85,
153.19,
153.53,
153.87,
154.21,
154.55,
154.89,
155.23,
155.56,
155.9,
156.25,
156.58,
156.92,
157.26,
157.6,
157.95,
158.29,
158.63,
158.97,
159.31,
159.65,
159.99,
160.33,
160.67,
161.01,
161.34,
161.68,
162.02,
162.36,
162.7,
163.05,
163.39,
163.72,
164.06,
164.4,
164.74,
165.08,
165.42,
165.76,
166.1,
166.44,
166.78,
167.12,
167.46,
167.8,
168.14,
168.48,
168.82,
169.16,
169.5,
169.84,
170.18,
170.52,
170.86,
171.2,
171.54,
171.88,
172.22,
172.56,
172.9,
173.24,
173.58,
173.92,
174.26,
174.6,
174.94,
175.27,
175.61,
175.95,
176.3,
176.64,
176.98,
177.32,
177.66,
178.0,
178.34,
178.67,
179.01,
179.35,
179.69,
180.03,
180.37,
180.71,
181.05,
181.4,
181.73,
182.07,
182.41,
182.75,
183.09,
183.43,
183.77,
184.11,
184.45,
184.79,
185.13,
185.47,
185.81,
186.15,
186.49,
186.83,
187.17,
187.51,
187.85,
188.19,
188.53,
188.87,
189.21,
189.55,
189.89,
190.23,
190.57,
190.91,
191.25,
191.59,
191.93,
192.27,
192.61,
192.95,
193.28,
193.62,
193.96,
194.3,
194.64,
194.98,
195.32,
195.66,
196.0,
196.34,
196.69,
197.03,
197.37,
197.71,
198.05,
198.39,
198.73,
199.07,
199.41,
199.75,
200.09,
200.43,
200.77,
201.11,
201.45,
201.79,
202.13,
202.47,
202.81,
203.15,
203.49,
203.83,
204.17,
204.51,
204.85,
205.19,
205.53,
205.87,
206.21,
206.54,
206.88,
207.22,
207.56,
207.9,
208.24,
208.58,
208.92,
209.26,
209.6,
209.94,
210.28,
210.62,
210.96,
211.3,
211.64,
211.98,
212.32,
212.66,
213.0,
213.34,
213.68,
214.02,
214.35,
214.69,
215.03,
215.37,
215.71,
216.05,
216.4,
216.73,
217.07,
217.41,
217.75,
218.09,
218.43,
218.77,
219.11,
219.45,
219.79,
220.13,
220.47,
220.81,
221.15,
221.49,
221.83,
222.17,
222.51,
222.85,
223.19,
223.53,
223.87,
224.21,
224.55,
224.89,
225.23,
225.57,
225.91,
226.25,
226.59,
226.93,
227.27,
227.61,
227.95,
228.29,
228.63,
228.97,
229.31,
229.65,
229.99,
230.33,
230.67,
231.01,
231.35,
231.68,
232.02,
232.36,
232.7,
233.04,
233.38,
233.72,
234.06,
234.4,
234.74,
235.08,
235.42,
235.76,
236.1,
236.44,
236.78,
237.12,
237.46,
237.8,
238.14,
238.48,
238.81,
239.15,
239.5,
239.84,
240.18,
240.51,
240.86,
241.2,
241.54,
241.88,
242.21,
242.56,
242.9,
243.23,
243.57,
243.91,
244.25,
244.59,
244.93,
245.27,
245.61,
245.95,
246.29,
246.63,
246.97,
247.31,
247.65,
247.99,
248.33,
248.67,
249.01,
249.35,
249.69,
250.03,
250.37,
250.71,
251.05,
251.39,
251.73,
252.07,
252.41,
252.75,
253.09,
253.43,
253.77,
254.11,
254.45,
254.79,
255.13,
255.47,
255.81,
256.15,
256.49,
256.83,
257.17,
257.51,
257.85,
258.19,
258.53,
258.87,
259.21,
259.55,
259.89,
260.23,
260.57,
260.91,
261.25,
261.59,
261.93,
262.27,
262.61,
262.95,
263.29,
263.63,
263.97,
264.31,
264.64,
264.98,
265.32,
265.66,
266.0,
266.34,
266.68,
267.02,
267.36,
267.69,
268.03,
268.37,
268.71,
269.05,
269.39,
269.73,
270.07,
270.41,
270.75,
271.09,
271.43,
271.77,
272.11,
272.45,
272.79,
273.12,
273.46,
273.8,
274.14,
274.48,
274.82,
275.15,
275.49,
275.83,
276.17,
276.51,
276.85,
277.19,
277.53,
277.87,
278.21,
278.55,
278.89,
279.22,
279.56,
279.9,
280.24,
280.58,
280.92,
281.26,
281.6,
281.94,
282.27,
282.61,
282.95,
283.29,
283.63,
283.97,
284.31,
284.65,
284.99,
285.33,
285.67,
286.01,
286.35,
286.69,
287.03,
287.37,
287.71,
288.05,
288.39,
288.73,
289.07,
289.41,
289.75,
290.09,
290.43,
290.77,
291.11,
291.45,
291.79,
292.13,
292.47,
292.81,
293.15,
293.49,
293.83,
294.17,
294.51,
294.85,
295.19,
295.53,
295.86,
296.2,
296.54,
296.88,
297.22,
297.56,
297.9,
298.25,
298.59,
298.92,
299.26,
299.6,
299.94,
300.28,
300.62,
300.96,
301.3,
301.64,
301.98,
302.32,
302.66,
303.0,
303.34,
303.68,
304.02,
304.36,
304.7,
305.04,
305.37,
305.71,
306.05,
306.39,
306.73,
307.07,
307.41,
307.75,
308.09,
308.43,
308.77,
309.11,
309.45,
309.79,
310.13,
310.47,
310.81,
311.14,
311.48,
311.82,
312.16,
312.5,
312.84,
313.18,
313.52,
313.86,
314.2,
314.54,
314.88,
315.22,
315.56,
315.9,
316.23,
316.57,
316.91,
317.25,
317.59,
317.93,
318.27,
318.61,
318.95,
319.29,
319.63,
319.97,
320.31,
320.65,
320.99,
321.33,
321.67,
322.01,
322.35,
322.69,
323.03,
323.37,
323.71,
324.04,
324.38,
324.72,
325.06,
325.4,
325.74,
326.08,
326.43,
326.76,
327.1,
327.44,
327.78,
328.12,
328.46,
328.8,
329.14,
329.48,
329.83,
330.16,
330.5,
330.84,
331.18,
331.53,
331.86,
332.2,
332.54,
332.88,
333.22,
333.56,
333.9,
334.24,
334.58,
334.92,
335.26,
335.6,
335.94,
336.29,
336.63,
336.97,
337.31,
337.65,
337.98,
338.32,
338.66,
339.0,
339.34,
339.68,
340.02,
340.36,
340.7,
341.04,
341.38,
341.72,
342.06,
342.4,
342.74,
343.08,
343.42,
343.76,
344.1,
344.44,
344.78,
345.12,
345.46,
345.8,
346.14,
346.48,
346.81,
347.15,
347.49,
347.83,
348.17,
348.51,
348.85,
349.19,
349.53,
349.87,
350.21,
350.55,
350.89,
351.23,
351.57,
351.91,
352.25,
352.59,
352.93,
353.27,
353.61,
353.95,
354.29,
354.63,
354.97,
355.31,
355.64,
355.98,
356.32,
356.66,
357.0,
357.34,
357.68,
358.02,
358.36,
358.7,
359.04,
359.38,
359.72,
360.06,
360.4,
360.74,
361.08,
361.42,
361.76,
362.1,
362.44,
362.78,
363.12,
363.46,
363.8,
364.14,
364.48,
364.82,
365.15,
365.49,
365.83,
366.18,
366.52,
366.86,
367.2,
367.54,
367.88,
368.22,
368.56,
368.9,
369.24,
369.58,
369.92,
370.26,
370.6,
370.94,
371.28,
371.62,
371.96,
372.3,
372.64,
372.98,
373.32,
373.66,
374.0,
374.34,
374.68,
375.02,
375.37,
375.71,
376.05,
376.39,
376.73,
377.07,
377.41,
377.75,
378.09,
378.42,
378.76,
379.1,
379.44,
379.78,
380.13,
380.47,
380.81,
381.15,
381.49,
381.83,
382.17,
382.51,
382.85,
383.19,
383.53,
383.87,
384.21,
384.55,
384.89,
385.23,
385.57,
385.91,
386.25,
386.59,
386.93,
387.27,
387.61,
387.95,
388.28,
388.62,
388.96,
389.31,
389.64,
389.98,
390.32,
390.66,
391.0,
391.34,
391.68,
392.02,
392.36,
392.7,
393.04,
393.38,
393.72,
394.06,
394.4,
394.74,
395.08,
395.42,
395.76,
396.1,
396.43,
396.77,
397.12,
397.45,
397.79,
398.13,
398.47,
398.81,
399.15,
399.49,
399.83,
400.17,
400.51,
400.85,
401.19,
401.53,
401.87,
402.21,
402.55,
