time+,res,%cpu,total-runtime
0.7,0.057,6.9,36.69
1.03,0.117,6.9,
1.35,0.169,5.6,
1.69,0.234,6.2,
2.02,0.289,6.2,
2.35,0.289,6.2,
2.69,0.289,6.2,
3.03,0.289,6.2,
3.36,0.289,6.2,
3.69,0.289,6.2,
4.03,0.289,6.9,
4.36,0.289,6.2,
4.6899999999999995,0.289,6.2,
5.02,0.289,6.2,
5.35,0.289,6.2,
5.6899999999999995,0.29,6.2,
6.02,0.291,6.2,
6.35,0.293,5.7,
6.6899999999999995,0.295,6.9,
7.01,0.296,6.2,
7.35,0.298,6.2,
7.68,0.299,6.2,
8.01,0.301,6.2,
8.34,0.302,6.2,
8.68,0.304,6.2,
9.01,0.306,6.2,
9.35,0.306,6.2,
9.68,0.312,6.2,
10.01,0.312,6.9,
10.34,0.318,6.2,
10.67,0.318,6.2,
11.0,0.318,6.2,
11.33,0.325,6.2,
11.67,0.325,6.9,
12.0,0.325,6.2,
12.33,0.325,6.2,
12.66,0.325,6.2,
12.99,0.325,6.2,
13.32,0.325,6.2,
13.65,0.325,6.2,
13.99,0.325,6.2,
14.32,0.325,6.2,
14.65,0.325,6.2,
14.99,0.325,6.2,
15.31,0.325,6.2,
15.65,0.325,6.2,
15.98,0.325,6.2,
16.31,0.325,6.2,
16.65,0.325,6.2,
16.98,0.325,6.2,
17.31,0.325,5.7,
17.65,0.325,6.2,
17.98,0.325,6.2,
18.31,0.325,6.2,
18.65,0.325,6.2,
18.99,0.325,6.2,
19.32,0.325,6.2,
19.65,0.325,6.2,
19.99,0.325,6.2,
20.32,0.325,6.2,
20.65,0.325,6.2,
20.99,0.325,6.2,
21.32,0.325,6.2,
21.65,0.325,6.2,
21.99,0.325,6.2,
22.32,0.325,6.2,
22.65,0.325,6.2,
22.99,0.325,6.2,
23.32,0.325,6.2,
23.66,0.325,6.2,
23.99,0.325,6.2,
24.33,0.325,6.2,
24.66,0.325,6.2,
24.99,0.325,6.2,
25.33,0.325,6.2,
25.66,0.325,6.2,
26.0,0.325,6.2,
26.33,0.325,6.2,
26.67,0.325,6.2,
27.0,0.325,6.2,
27.33,0.325,6.2,
27.67,0.325,6.2,
28.0,0.325,6.2,
28.33,0.325,6.2,
28.67,0.325,6.2,
29.0,0.325,6.2,
29.33,0.325,6.2,
29.67,0.325,6.2,
30.0,0.325,6.2,
30.34,0.325,6.2,
30.67,0.325,6.2,
31.01,0.325,6.2,
31.34,0.325,6.2,
31.67,0.325,6.2,
32.01,0.325,6.2,
32.34,0.325,6.2,
32.67,0.325,5.7,
33.01,0.325,6.2,
33.34,0.325,6.2,
33.67,0.325,6.2,
34.01,0.325,6.2,
34.34,0.325,6.2,
34.68,0.325,6.2,
35.01,0.325,6.2,
35.35,0.325,6.2,
35.68,0.325,6.2,
36.02,0.325,6.2,
36.35,0.325,6.2,
36.69,0.325,6.2,
