time+,res,%cpu,total-runtime
0.69,0.06,5.6,405.46
1.03,0.12,6.9,
1.3599999999999999,0.166,6.2,
1.7,0.231,6.9,
2.03,0.277,6.2,
2.37,0.333,6.2,
2.71,0.397,6.9,
3.04,0.397,6.2,
3.37,0.397,5.7,
3.71,0.397,6.2,
4.04,0.397,6.2,
4.37,0.397,6.2,
4.71,0.397,6.2,
5.04,0.397,6.2,
5.37,0.397,6.2,
5.7,0.397,6.2,
6.04,0.397,6.9,
6.37,0.397,6.2,
6.7,0.397,6.2,
7.03,0.397,6.2,
7.37,0.397,6.2,
7.7,0.399,6.2,
8.03,0.4,5.7,
8.37,0.4,6.2,
8.7,0.402,6.2,
9.03,0.403,6.2,
9.36,0.405,6.2,
9.69,0.407,6.2,
10.02,0.408,6.2,
10.36,0.41,6.2,
10.69,0.411,6.2,
11.02,0.413,6.2,
11.35,0.414,6.2,
11.68,0.416,6.2,
12.02,0.418,5.7,
12.35,0.419,6.2,
12.69,0.422,6.2,
13.02,0.422,6.2,
13.35,0.422,6.2,
13.68,0.429,6.2,
14.01,0.429,6.2,
14.34,0.429,6.2,
14.67,0.429,6.2,
15.0,0.429,6.2,
15.33,0.429,6.2,
15.67,0.429,6.2,
16.0,0.429,6.2,
16.33,0.429,6.2,
16.66,0.44,6.2,
16.99,0.44,6.2,
17.33,0.44,5.7,
17.66,0.44,6.2,
17.99,0.44,6.2,
18.33,0.44,6.2,
18.66,0.44,6.2,
18.99,0.44,6.2,
19.32,0.44,6.2,
19.65,0.44,6.2,
19.99,0.44,6.2,
20.32,0.44,6.2,
20.65,0.44,6.2,
20.98,0.44,6.2,
21.31,0.44,6.2,
21.64,0.44,6.2,
21.98,0.44,6.2,
22.31,0.44,6.2,
22.64,0.44,6.2,
22.98,0.44,6.2,
23.31,0.44,6.2,
23.64,0.44,6.2,
23.97,0.44,6.2,
24.3,0.44,6.2,
24.64,0.44,6.2,
24.97,0.44,6.2,
25.3,0.44,6.2,
25.63,0.44,6.2,
25.96,0.44,6.2,
26.3,0.44,6.2,
26.63,0.44,6.2,
26.96,0.44,6.2,
27.3,0.44,5.7,
27.63,0.44,6.2,
27.97,0.45,6.2,
28.3,0.45,6.2,
28.64,0.45,6.2,
28.97,0.45,6.2,
29.3,0.45,6.2,
29.64,0.45,6.2,
