,,,,,,,,,,gridsize,nDroplets,congestion,,,,,,,,,,,,,,gridsize,nDroplets,congestion,,,,,,,,,,,,,,gridsize,nDroplets,congestion,
,,,,,,,,,,50,9,0.0036,,,,,,,,,,,,,,76,21,0.003635734072,,,,,,,,,,,,,,96,33,0.003580729167,
Id,Label,timeset,group,calls,time,memory_in,memory_out,,,,,,,,,Id,Label,timeset,group,calls,time,memory_in,memory_out,,,,,,,,,Id,Label,timeset,group,calls,time,memory_in,memory_out,,,,,,
sre_compile._compile,sre_compile._compile,,sre_compile,3503,2.843878,0,0,,,,,,,,,Scheduler.Scheduler.Route_Droplets,Scheduler.Scheduler.Route_Droplets,,Scheduler,715,4.139285,0,0,,,,,,,,,AStar.Single_Route_With_Time,AStar.Single_Route_With_Time,,AStar,80,6.936901,0,0,,,,,,
matplotlib.figure.<module>,matplotlib.figure.<module>,,matplotlib,1,2.324099,0,0,,,,,,,,,matplotlib.artist._update_set_signature_and_docstring,matplotlib.artist._update_set_signature_and_docstring,,matplotlib,101,3.703383,0,0,,,,,,,,,Scheduler.<module>,Scheduler.<module>,,Scheduler,1,6.735841,0,0,,,,,,
matplotlib.artist.kwdoc,matplotlib.artist.kwdoc,,matplotlib,114,2.321482,0,0,,,,,,,,,matplotlib.artist.__init_subclass__,matplotlib.artist.__init_subclass__,,matplotlib,100,3.661908,0,0,,,,,,,,,Lab.Lab.Get_Congestion,Lab.Lab.Get_Congestion,,Lab,967,6.44679,0,0,,,,,,
matplotlib.artist.ArtistInspector.get_setters,matplotlib.artist.ArtistInspector.get_setters,,matplotlib,216,2.241014,0,0,,,,,,,,,AStar.Get_Route,AStar.Get_Route,,AStar,49,3.587789,0,0,,,,,,,,,AStar.<lambda>,AStar.<lambda>,,AStar,437823,4.989607,0,0,,,,,,
sre_parse._parse_sub,sre_parse._parse_sub,,sre_parse,582,2.23669,0,0,,,,,,,,,sre_compile._compile,sre_compile._compile,,sre_compile,3503,2.865967,0,0,,,,,,,,,matplotlib.pyplot.<module>,matplotlib.pyplot.<module>,,matplotlib,1,4.521996,0,0,,,,,,
matplotlib.projections.<module>,matplotlib.projections.<module>,,matplotlib,1,2.212035,0,0,,,,,,,,,matplotlib.artist.kwdoc,matplotlib.artist.kwdoc,,matplotlib,114,2.334418,0,0,,,,,,,,,AStar.Single_Route_Without_Time,AStar.Single_Route_Without_Time,,AStar,80,4.191093,0,0,,,,,,
sre_parse._parse,sre_parse._parse,,sre_parse,2787,2.169025,0,0,,,,,,,,,matplotlib.figure.<module>,matplotlib.figure.<module>,,matplotlib,1,2.327293,0,0,,,,,,,,,Lab.Droplet.Move,Lab.Droplet.Move,,Lab,4823,3.758937,0,0,,,,,,
re._compile,re._compile,,re,7355,2.011043,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.get_setters,matplotlib.artist.ArtistInspector.get_setters,,matplotlib,216,2.256634,0,0,,,,,,,,,matplotlib.artist._update_set_signature_and_docstring,matplotlib.artist._update_set_signature_and_docstring,,matplotlib,101,3.698201,0,0,,,,,,
sre_compile.compile,sre_compile.compile,,sre_compile,246,1.980304,0,0,,,,,,,,,sre_parse._parse_sub,sre_parse._parse_sub,,sre_parse,582,2.233823,0,0,,,,,,,,,matplotlib.artist.__init_subclass__,matplotlib.artist.__init_subclass__,,matplotlib,100,3.656948,0,0,,,,,,
matplotlib.colorbar.<module>,matplotlib.colorbar.<module>,,matplotlib,1,1.915046,0,0,,,,,,,,,matplotlib.projections.<module>,matplotlib.projections.<module>,,matplotlib,1,2.214704,0,0,,,,,,,,,Scheduler.<listcomp>,Scheduler.<listcomp>,,Scheduler,42320,3.562911,0,0,,,,,,
matplotlib.<module>,matplotlib.<module>,,matplotlib,1,1.84187,0,0,,,,,,,,,sre_parse._parse,sre_parse._parse,,sre_parse,2787,2.165998,0,0,,,,,,,,,AStar.<genexpr>,AStar.<genexpr>,,AStar,166208,2.950753,0,0,,,,,,
matplotlib.artist.ArtistInspector.pprint_setters,matplotlib.artist.ArtistInspector.pprint_setters,,matplotlib,114,1.805431,0,0,,,,,,,,,AStar.Single_Route_With_Time,AStar.Single_Route_With_Time,,AStar,49,2.085743,0,0,,,,,,,,,sre_compile._compile,sre_compile._compile,,sre_compile,3503,2.883192,0,0,,,,,,
re.compile,re.compile,,re,106,1.727678,0,0,,,,,,,,,re._compile,re._compile,,re,7355,2.019728,0,0,,,,,,,,,Lab.Droplet.Get_Shadow,Lab.Droplet.Get_Shadow,,Lab,9613,2.448022,0,0,,,,,,
inspect.signature,inspect.signature,,inspect,8722,1.69874,0,0,,,,,,,,,sre_compile.compile,sre_compile.compile,,sre_compile,246,1.988829,0,0,,,,,,,,,Lab.Droplet.Find_Gradient,Lab.Droplet.Find_Gradient,,Lab,4823,2.361731,0,0,,,,,,
matplotlib.rcsetup.<module>,matplotlib.rcsetup.<module>,,matplotlib,1,1.69426,0,0,,,,,,,,,matplotlib.colorbar.<module>,matplotlib.colorbar.<module>,,matplotlib,1,1.92045,0,0,,,,,,,,,matplotlib.artist.kwdoc,matplotlib.artist.kwdoc,,matplotlib,114,2.328175,0,0,,,,,,
inspect.from_callable,inspect.from_callable,,inspect,8722,1.656068,0,0,,,,,,,,,matplotlib.<module>,matplotlib.<module>,,matplotlib,1,1.843031,0,0,,,,,,,,,matplotlib.figure.<module>,matplotlib.figure.<module>,,matplotlib,1,2.322331,0,0,,,,,,
matplotlib.fontconfig_pattern.<module>,matplotlib.fontconfig_pattern.<module>,,matplotlib,1,1.6172,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.pprint_setters,matplotlib.artist.ArtistInspector.pprint_setters,,matplotlib,114,1.819635,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.get_setters,matplotlib.artist.ArtistInspector.get_setters,,matplotlib,216,2.258052,0,0,,,,,,
inspect._signature_from_callable,inspect._signature_from_callable,,inspect,8762,1.605025,0,0,,,,,,,,,re.compile,re.compile,,re,106,1.733562,0,0,,,,,,,,,matplotlib.projections.<module>,matplotlib.projections.<module>,,matplotlib,1,2.207599,0,0,,,,,,
pyparsing.<module>,pyparsing.<module>,,pyparsing,1,1.601366,0,0,,,,,,,,,inspect.signature,inspect.signature,,inspect,8722,1.717864,0,0,,,,,,,,,Lab.Droplet.<listcomp>,Lab.Droplet.<listcomp>,,Lab,15228,2.206404,0,0,,,,,,
pyparsing.core.Regex.__init__,pyparsing.core.Regex.__init__,,pyparsing,84,1.473363,0,0,,,,,,,,,matplotlib.rcsetup.<module>,matplotlib.rcsetup.<module>,,matplotlib,1,1.695601,0,0,,,,,,,,,sre_parse._parse_sub,sre_parse._parse_sub,,sre_parse,582,2.082763,0,0,,,,,,
inspect.getdoc,inspect.getdoc,,inspect,33099,1.233897,0,0,,,,,,,,,Lab.Droplet.Move,Lab.Droplet.Move,,Lab,2106,1.691745,0,0,,,,,,,,,sre_parse._parse,sre_parse._parse,,sre_parse,2787,2.01542,0,0,,,,,,
sre_parse.parse,sre_parse.parse,,sre_parse,246,1.190654,0,0,,,,,,,,,inspect.from_callable,inspect.from_callable,,inspect,8722,1.674671,0,0,,,,,,,,,re._compile,re._compile,,re,7355,1.972738,0,0,,,,,,
matplotlib.artist.ArtistInspector.is_alias,matplotlib.artist.ArtistInspector.is_alias,,matplotlib,27386,1.176841,0,0,,,,,,,,,inspect._signature_from_callable,inspect._signature_from_callable,,inspect,8762,1.624358,0,0,,,,,,,,,sre_compile.compile,sre_compile.compile,,sre_compile,246,1.94204,0,0,,,,,,
inspect._signature_from_function,inspect._signature_from_function,,inspect,8616,1.176007,0,0,,,,,,,,,matplotlib.fontconfig_pattern.<module>,matplotlib.fontconfig_pattern.<module>,,matplotlib,1,1.620552,0,0,,,,,,,,,matplotlib.colorbar.<module>,matplotlib.colorbar.<module>,,matplotlib,1,1.920027,0,0,,,,,,
matplotlib.axes.<module>,matplotlib.axes.<module>,,matplotlib,1,1.126929,0,0,,,,,,,,,pyparsing.<module>,pyparsing.<module>,,pyparsing,1,1.604676,0,0,,,,,,,,,matplotlib.<module>,matplotlib.<module>,,matplotlib,1,1.833714,0,0,,,,,,
matplotlib.axes._subplots.<module>,matplotlib.axes._subplots.<module>,,matplotlib,1,1.125897,0,0,,,,,,,,,AStar.<lambda>,AStar.<lambda>,,AStar,142970,1.59538,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.pprint_setters,matplotlib.artist.ArtistInspector.pprint_setters,,matplotlib,114,1.814755,0,0,,,,,,
matplotlib.axes._axes.<module>,matplotlib.axes._axes.<module>,,matplotlib,1,1.063352,0,0,,,,,,,,,Lab.Lab.Get_Congestion,Lab.Lab.Get_Congestion,,Lab,715,1.587619,0,0,,,,,,,,,inspect.signature,inspect.signature,,inspect,8722,1.719859,0,0,,,,,,
matplotlib.contour.<module>,matplotlib.contour.<module>,,matplotlib,1,1.020515,0,0,,,,,,,,,AStar.Single_Route_Without_Time,AStar.Single_Route_Without_Time,,AStar,49,1.500411,0,0,,,,,,,,,Lab.<listcomp>,Lab.<listcomp>,,Lab,283000,1.719775,0,0,,,,,,
pyparsing.helpers.<module>,pyparsing.helpers.<module>,,pyparsing,1,1.009297,0,0,,,,,,,,,pyparsing.core.Regex.__init__,pyparsing.core.Regex.__init__,,pyparsing,84,1.476497,0,0,,,,,,,,,re.compile,re.compile,,re,106,1.688029,0,0,,,,,,
matplotlib.artist.ArtistInspector.__init__,matplotlib.artist.ArtistInspector.__init__,,matplotlib,216,0.971258,0,0,,,,,,,,,inspect.getdoc,inspect.getdoc,,inspect,33099,1.212469,0,0,,,,,,,,,matplotlib.rcsetup.<module>,matplotlib.rcsetup.<module>,,matplotlib,1,1.686656,0,0,,,,,,
matplotlib.artist.ArtistInspector.get_aliases,matplotlib.artist.ArtistInspector.get_aliases,,matplotlib,216,0.96765,0,0,,,,,,,,,inspect._signature_from_function,inspect._signature_from_function,,inspect,8616,1.193186,0,0,,,,,,,,,inspect.from_callable,inspect.from_callable,,inspect,8722,1.676098,0,0,,,,,,
inspect.cleandoc,inspect.cleandoc,,inspect,32046,0.959987,0,0,,,,,,,,,sre_parse.parse,sre_parse.parse,,sre_parse,246,1.193147,0,0,,,,,,,,,inspect._signature_from_callable,inspect._signature_from_callable,,inspect,8762,1.626099,0,0,,,,,,
matplotlib.backend_bases.<module>,matplotlib.backend_bases.<module>,,matplotlib,1,0.828841,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.is_alias,matplotlib.artist.ArtistInspector.is_alias,,matplotlib,27386,1.160308,0,0,,,,,,,,,matplotlib.fontconfig_pattern.<module>,matplotlib.fontconfig_pattern.<module>,,matplotlib,1,1.611272,0,0,,,,,,
