1.25,126368
2.52,127136
3.8,128160
5.06,129184
6.33,131812
7.6,137900
8.87,137900
10.14,137900
11.41,139580
12.67,142088
13.94,142352
15.21,142352
16.48,145792
17.75,148352
19.02,148352
20.29,148352
21.56,148352
22.82,153136
24.09,153400
25.36,153400
26.63,153020
27.9,153020
29.17,153020
30.44,155356
31.71,159444
32.98,159444
34.25,164684
35.52,164948
36.79,164948
38.06,164768
39.33,164768
40.6,164768
41.87,164768
43.14,164768
44.41,164768
45.67,164768
46.94,164768
48.21,164768
49.48,164768
50.75,165028
52.02,165028
53.29,165028
54.56,166652
55.83,166652
57.1,166652
58.37,166652
59.64,173408
60.9,173408
62.17,173256
63.44,173256
64.71,173256
65.98,173256
67.25,173256
68.52,173256
69.79,173256
71.06,171136
72.33,171136
73.6,171136
74.86,171396
76.13,171396
77.4,171396
78.67,171396
79.94,171396
81.21,169972
82.48,169716
83.75,169716
85.02,169716
86.29,169716
87.56,169716
88.83,169716
90.1,169716
91.37,169976
92.63,169976
93.9,169976
95.17,169976
96.44,169976
97.71,169976
98.98,169976
100.25,169976
101.52,169976
102.79,169976
104.06,169976
105.33,169976
106.59,169976
107.86,169976
109.13,169976
110.4,169976
111.67,169976
